"hs"	"ms"	"cell_type"	"category"
"1"	"A2M"	"A2m"	"astrocyte"	"top_mouse_enrich"
"2"	"AARS"	"Aars"	"neuron"	"top_all_expression"
"3"	"AARS2"	"Aars2"	"opc"	"manual"
"4"	"ABCA1"	"Abca1"	"microglia"	"top_all_enrich"
"5"	"ABCA9"	"Abca9"	"microglia"	"top_all_enrich"
"6"	"ABCB1B"	"Abcb1b"	"endothelial"	"manual"
"7"	"ABCC3"	"Abcc3"	"microglia"	"top_all_enrich"
"8"	"ABCC8"	"Abcc8"	"neuron"	"top_all_enrich"
"9"	"ABCF1"	"Abcf1"	"microglia"	"manual"
"10"	"ABCG1"	"Abcg1"	"oligodendrocyte"	"top_all_enrich"
"11"	"ABHD4"	"Abhd4"	"astrocyte"	"top_all_enrich"
"12"	"ABHD8"	"Abhd8"	"neuron"	"manual"
"13"	"ABI2"	"Abi2"	"microglia"	"top_all_expression"
"14"	"ABI3"	"Abi3"	"microglia"	"top_all_enrich"
"15"	"ABLIM3"	"Ablim3"	"neuron"	"top_all_enrich"
"16"	"ACAD9"	"Acad9"	"opc"	"manual"
"17"	"ACER3"	"Acer3"	"microglia"	"top_mouse_enrich"
"18"	"ACOT13"	"Acot13"	"oligodendrocyte"	"manual"
"19"	"ACSL6"	"Acsl6"	"astrocyte"	"top_all_enrich"
"20"	"ACTA1"	"Acta1"	"neuron"	"top_all_specificity"
"21"	"ACTN2"	"Actn2"	"neuron"	"manual"
"22"	"ACTR3"	"Actr3"	"microglia"	"top_all_expression"
"23"	"ACYP2"	"Acyp2"	"oligodendrocyte"	"manual"
"24"	"ADAM17"	"Adam17"	"microglia"	"top_all_enrich"
"25"	"ADAM8"	"Adam8"	"microglia"	"manual"
"26"	"ADAMTS15"	"Adamts15"	"neuron"	"manual"
"27"	"ADAMTS4"	"Adamts4"	"oligodendrocyte"	"top_all_enrich"
"28"	"ADAMTS9"	"Adamts9"	"endothelial"	"top_all_enrich"
"29"	"ADAMTSL2"	"Adamtsl2"	"endothelial"	"top_all_enrich"
"30"	"ADAMTSL3"	"Adamtsl3"	"opc"	"top_all_enrich"
"31"	"ADAP2"	"Adap2"	"microglia"	"top_all_enrich"
"32"	"ADAP2OS"	"Adap2os"	"microglia"	"top_mouse_enrich"
"33"	"ADARB1"	"Adarb1"	"neuron"	"top_all_enrich"
"34"	"ADCY1"	"Adcy1"	"opc"	"top_all_enrich"
"35"	"ADCY7"	"Adcy7"	"microglia"	"top_all_enrich"
"36"	"ADCY8"	"Adcy8"	"neuron"	"top_all_enrich"
"37"	"ADCYAP1"	"Adcyap1"	"neuron"	"top_all_enrich"
"38"	"ADD3"	"Add3"	"astrocyte"	"top_all_enrich"
"39"	"ADGB"	"Adgb"	"opc"	"top_all_specificity"
"40"	"ADGRA1"	"Adgra1"	"neuron"	"top_mouse_enrich"
"41"	"ADGRB1"	"Adgrb1"	"opc"	"top_mouse_enrich"
"42"	"ADGRB2"	"Adgrb2"	"astrocyte"	"manual"
"43"	"ADGRB3"	"Adgrb3"	"astrocyte"	"top_mouse_enrich"
"44"	"ADGRF5"	"Adgrf5"	"endothelial"	"top_mouse_enrich"
"45"	"ADGRG5"	"Adgrg5"	"microglia"	"top_mouse_specificity"
"46"	"ADGRG6"	"Adgrg6"	"endothelial"	"top_mouse_enrich"
"47"	"ADGRL4"	"Adgrl4"	"endothelial"	"top_mouse_enrich"
"48"	"ADORA1"	"Adora1"	"oligodendrocyte"	"top_all_enrich"
"49"	"ADRA1D"	"Adra1d"	"oligodendrocyte"	"top_mouse_specificity"
"50"	"ADRA2B"	"Adra2b"	"endothelial"	"manual"
"51"	"ADSSL1"	"Adssl1"	"oligodendrocyte"	"top_all_enrich"
