gene,group
Chrm2,synaptic transmission
Gabbr2,synaptic transmission
Htr1f,synaptic transmission
Lin7b,synaptic transmission
Grm1,synaptic transmission
Camkk2,synaptic transmission
Cacnb3,synaptic transmission
Htr7,synaptic transmission
Grm4,synaptic transmission
Hrh3,synaptic transmission
Npy,synaptic transmission
Pnoc,synaptic transmission
Amph,synaptic transmission
Slc17a7,synaptic transmission
Asic2,synaptic transmission
Ppfia3,synaptic transmission
Stx1a,synaptic transmission
Chrnb2,synaptic transmission
Rims3,synaptic transmission
Clstn3,synaptic transmission
Clstn1,synaptic transmission
Drd2,synaptic transmission
Dlgap3,synaptic transmission
Cplx1,synaptic transmission
Syn1,synaptic transmission
Cplx3,synaptic transmission
Begain,synaptic transmission
Cacng5,synaptic transmission
Pick1,synaptic transmission
Hcn4,potassium transport
Slc24a3,potassium transport
Kcnc1,potassium transport
Kcnj11,potassium transport
Abcc8,potassium transport
Kcnj12,potassium transport
Kcnj9,potassium transport
Kcnj14,potassium transport
Atp1a3,potassium transport
Kcna4,potassium transport
Kcnab2,potassium transport
Slc9a5,potassium transport
Slc12a8,potassium transport
Kcnk4,potassium transport
Cpne9,response to calcium
Cpne4,response to calcium
Cpne7,response to calcium
Hpca,response to calcium
Syt13,response to calcium
Adcy8,response to calcium
Crhbp,response to calcium
Cpne5,response to calcium
Wnt5a,response to calcium
Trpm1,calcium transport
Micu2,calcium transport
Baiap2,actin cytoskeleton
Baiap2l2,actin cytoskeleton
Neb,actin cytoskeleton
Stap1,actin cytoskeleton
Afrip2,actin cytoskeleton
Ccdc120,actin cytoskeleton
Dctn1,actin cytoskeleton
Dmtn,actin cytoskeleton
Casp3,neuron death
Mapk13,neuron death
Rbfox3,neuron death
Sema6b,Axon guidance
Sptbn4,Axon guidance
Brsk2,Axon guidance
Epha8,Axon guidance
Lrtm2,Axon guidance
Nrxn3,Axon guidance
Cck,Axon guidance
L1cam,Axon guidance
Gfra4,Axon guidance
Afg3l2,Axon guidance
Efna3,Axon guidance
Tubb3,Axon guidance
Slit1,Axon guidance
Nefh,Axon guidance
Sptbn2,Axon guidance
Rnf165,Axon guidance
Nefl,Axon guidance
Nefm,Axon guidance
Rnf157,Axon guidance
Syt1,Axon guidance
Nedd4l,Axon guidance
