Term	list	set	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	database	direction
BioPlanet_2019.1	Immune system	164	998	4.44013846801142e-24	5.42140906944194e-21	0	0	2.7180252677733	146.151906109907	CD86;IL1RN;IFITM2;NCF1;NCF2;PROS1;NCF4;UBE2D3;INPPL1;UBE2L6;IFI35;IFI30;IFIT1;IFIT3;ICAM1;C4B;PYCARD;C4A;LGALS3;DHX58;AP1S2;TRIM25;TRIM21;B2M;ZBP1;IFNAR2;GBP5;TICAM2;WSB1;HGF;CD180;TAP2;CYBB;TAP1;CYBA;ADAM17;TYROBP;RNF125;MAPKAPK3;IFI27;PSME1;BTK;ORAI1;PSME2;TXNIP;KIF20A;MASP1;IL6ST;CARD11;CD274;UBA7;CFH;LY96;ITPR2;CSF2RA;RASGRP3;RAP1B;SOCS3;RAP1A;INPP5D;PLCG2;CD14;LYN;CTSA;VASP;VCAM1;SMURF2;UBE2C;LY86;EIF2AK2;LNPEP;ISG15;NFKB2;ISG20;NFKBIA;PTPRC;BCL2;CDK1;XAF1;MYD88;LGMN;ITGB1;IGHM;CDKN1A;ITGB5;ITGB2;CTSS;IFIH1;CASP8;CTSL;CASP4;BLNK;CASP1;CTSH;ITGAV;CCR6;CD36;CTSE;CD34;CTSD;CTSC;CTSB;RIPK3;SYK;DDX58;IL18;PPP2R5A;IRAK4;VAV1;TAPBP;TLR1;IL1A;HCK;CD200R1;AIM2;GAN;IL1B;IRF1;IL3RA;IRF7;IRF8;LCP2;KIF2C;IRF5;TLR7;HCST;BIRC2;CD44;IRF9;TLR3;TLR2;C1QB;C1QA;UNC93B1;NLRC5;WAS;IL2RG;USP18;FYB;NRAS;GBP3;CD74;STAT2;STAT3;ERAP1;MX1;S100B;PSMB8;PSMB9;MAPK13;P2RX7;SPSB2;SPSB1;TEC;TNIP2;CAPZA1;SAA1;ASB7;PTPN6;PDCD1;FCGR2B;PIK3AP1;SIPA1;C1QC	BioPlanet_2019	up
BioPlanet_2019.2	Interleukin-2 signaling pathway	144	847	1.25502283782887e-22	7.66191442494527e-20	0	0	2.80839850279579	141.626745302669	TES;CSF1;INPPL1;IFIT1;TNF;ICAM1;ZFP36;CCND1;RGS1;MYC;SLCO2B1;ENPP4;TRIM21;CD300A;TAP1;RNF125;RAB31;MAPKAPK3;WDFY1;TAGLN2;ADAM8;IL6ST;PFKFB3;CBFB;HPN;MGST1;ITPR2;TNFRSF11B;SLC1A5;LY9;CSF2RA;SLC9A3R1;SOCS3;INPP5D;HLTF;SOCS4;S100A11;LYN;SMAD3;IFI44;NMI;GPR137B;FOSL2;GADD45G;PTPRC;GPR183;BHLHE40;GPR182;BCL2;CDK1;ID3;PLXNB2;EZH2;ITGAM;BTG1;DOCK8;ITGB2;CTSZ;PLEK;PDE3B;LSP1;LITAF;LYST;CTSS;RBM3;CSRP3;CASP3;ITGAX;CASP1;CTSH;CCR6;CCR5;CYTIP;CTSD;CTSC;CTSB;CD53;SRGN;DUSP5;CD52;FCER1G;SYK;VWA5A;PLAUR;RRAS2;EMP3;CYP7B1;RHOA;PARP8;TGFBR2;RNF144A;ITPKB;FGR;ELF1;ZEB2;SLC7A7;MDFIC;IL1B;IRF1;IL3RA;LCP2;TAX1BP3;IRF5;ANG;LCORL;SGK1;IRF9;PIGH;CX3CR1;AHNAK;ODC1;PBXIP1;RRBP1;IL2RG;ADD3;CRIP1;AIF1;FYB;NRAS;CYTH4;MAT2A;CCL5;UCP2;CCL4;CCL3;IL21R;RAB29;CRYM;GALNT3;CD70;STAT3;MX1;LAPTM5;CFLAR;SORL1;EVI2A;RGS10;FAS;PTPN6;VIM;CD68;LPIN2;MYO1F;LIMS1	BioPlanet_2019	up
BioPlanet_2019.3	T cell receptor regulation of apoptosis	105	603	1.81331625017022e-17	7.38019713819278e-15	0	0	2.83891719001285	109.436820398109	RB1;CD86;IL1RN;VIPR1;CD83;CLU;TNF;RCBTB2;PYCARD;LGALS1;CCND1;MYC;ARHGDIB;LGALS8;JUNB;IGFBP5;TAP1;CYBB;MR1;CH25H;DOK1;MAPKAPK3;SOAT1;PSME1;S100A6;PSME2;ATF3;PTGES;CSF1R;SHMT1;SLC5A3;CCNB2;PRDX1;IGFBP6;S100A10;MCL1;MSR1;TGFB1;GADD45B;NFATC1;NFKBIA;CXCL10;PTPRC;BCL3;BCL2;CDKN1A;BTG1;ITGB2;PDE3B;LSP1;CASP6;CASP3;CASP4;RAC2;CASP1;CCR6;CCR5;CTSB;ACTR3;DUSP5;ARG2;FCER1G;SPHK1;RHOH;PLA2G4A;RHOC;TLR1;IL1A;DDAH2;IL1B;IRF1;IRF7;BIRC5;TLR7;LCP1;BIRC2;TLR3;TLR2;CRB1;CEBPD;HDAC1;ODC1;FYB;GNAI2;RELB;NRAS;SH3BGRL;CCL5;CCL4;CCL3;IL21R;FLNA;BNIP2;STOM;GBP3;SEMA4D;IL10RB;ERAP1;MX1;CFLAR;S100B;PSMB8;PSMB9;FAS;VIM	BioPlanet_2019	up
BioPlanet_2019.4	Hemostasis pathway	84	468	5.67715552122425e-15	1.7329517228537e-12	0	0	2.91827276064611	95.7261346738045	DGKG;ITGB1;CD84;DOCK4;ITGAM;DOCK9;PROS1;DOCK8;ITGB2;PDE3B;PLEK;PLAT;CLU;PIK3CG;DOCK11;GNGT2;LAMP2;ITGAX;RAC2;ITGAV;TIMP1;CD36;SRGN;FCER1G;SYK;HGF;SERPINF2;PLAUR;PLA2G4A;PPP2R5A;F3;RHOA;VAV1;APBB1IP;FGR;F9;SLC7A7;IRF1;IRF7;ORAI1;SERPING1;LCP2;CD48;KIF2C;SCG3;ITGA5;KIF20A;ZFPM2;DOCK2;CD63;SELPLG;STXBP3;HDAC1;PDE1A;PDGFB;AK3;ITPR2;PRCP;TFPI;PIK3R5;GNAI2;RAP1B;GNA13;NRAS;GNA15;RAP1A;GNG5;INPP5D;PLCG2;FLNA;A2M;SH2B2;LYN;P2RY12;TGFB1;FN1;MERTK;GNG12;EHD2;CAPZA1;GNB4;CD9;MAFK;PTPN6	BioPlanet_2019	up
BioPlanet_2019.5	Interleukin-4 regulation of apoptosis	58	267	2.36453765612728e-14	5.77420095626283e-12	0	0	3.66783641051804	115.080600334317	CD86;IL1RN;CDKN1A;ITGAM;HSPB8;UBE2L6;LITAF;TNF;PIK3CG;MS4A4A;LGALS2;CTSL;MYC;CASP3;CTSC;IL13RA1;TMOD1;ST6GAL1;POSTN;FCER1G;WNT5A;MMP3;HPCAL1;IL18;F3;DKK2;ITPKB;CH25H;VCAN;MAF;LOX;KIT;MET;TLR2;FKBP5;CEBPB;GCNT1;FGL2;PDGFB;LPL;TFPI;RASGRP3;BCL2L11;SPP1;CCL2;VCAM1;GADD45B;DENND4A;IL10RA;MX1;FN1;ARHGAP25;BMP4;GPR183;ALOX5AP;ID3;CD9;PTX3	BioPlanet_2019	up
BioPlanet_2019.6	Lysosome	36	121	1.02984719804597e-13	2.09573904802355e-11	0	0	5.54763454317897	165.897549434634	SCARB2;CD63;ASAH1;CTSZ;HEXA;GBA;TCIRG1;LIPA;GNS;CTSS;CLN5;CLN3;LAMP1;NAGLU;CTSL;LAMP2;NEU1;AP1S2;CTSH;CTSE;GUSB;CTSD;CTSC;CTSB;CTSA;SLC11A1;LAPTM5;GALC;NPC1;NPC2;MAN2B1;TPP1;CD68;ATP6V0D2;GLA;LGMN	BioPlanet_2019	up
BioPlanet_2019.7	TGF-beta regulation of extracellular matrix	92	565	1.23027150348144e-13	2.14594500821548e-11	0	0	2.5973499551872	77.2097892401881	RB1;NRP2;ITGAM;CSF1;TNFAIP2;CXCL1;CROT;IFIT1;SAT1;IFIT3;HEBP1;LGALS3;EFEMP1;CCND1;CTSL;MYC;BDKRB2;CASP1;CD36;JUNB;CD34;CTSC;ACTR3;KLF10;PDGFRA;POSTN;HGF;TAP1;F3;SFRP4;VCAN;LOX;NPC2;IL1B;RBP1;PLIN2;ANG;ZFPM2;ATF3;ABCG1;IRF9;ASAH1;CEBPD;SDC4;PDE1A;HPN;GCNT1;ODC1;FGL2;MGST1;LY96;LPL;AEBP1;TFPI;THBS2;PTGS1;SDCBP;GPNMB;CCL7;RRAS;EPB41L2;PDGFD;CREG1;EIF4EBP1;BNIP2;STOM;APOE;A2M;CTNNAL1;S100A11;S100A10;ARNT2;CDSN;SMAD3;TGFB1;VCAM1;GOLM1;DENND4A;FN1;LHFPL2;SKI;BMP4;NFIB;CPD;QPCT;APOC1;ALOX5AP;LCN2;TGFBI;SCRG1;CKLF;CRLF1	BioPlanet_2019	up
BioPlanet_2019.8	Oncostatin M	62	311	1.87287701596146e-13	2.80180193180022e-11	0	0	3.29325974417903	96.5126996658207	VIPR1;CDKN1A;PLAT;CXCL1;HSPB3;HK2;ICAM1;ADAMTS4;CASP8;CCND1;MYC;SLCO2B1;CASP4;CTSH;ITGB8;ITGAV;ANXA9;TIMP1;B2M;JUNB;CTSB;IL13RA1;TGM2;KLF10;ANXA3;HGF;MMP3;PLAUR;PLA2G4A;RNASE4;AMPD3;OSMR;F3;PGF;CH25H;IRF1;IL6ST;ATF3;CEBPD;RRAD;TGFA;LPL;HIF1A;SOCS3;NRAS;CCL7;PTPRZ1;CCL5;HMOX1;CCL2;IGFBP6;LYN;CDSN;MGMT;STAT3;FN1;FOSL2;P2RX7;SAA1;LCN2;VIM;CRLF1	BioPlanet_2019	up
BioPlanet_2019.9	Immune system signaling by interferons, interleukins, prolactin, and growth hormones	58	280	2.06521026914021e-13	2.80180193180022e-11	0	0	3.45060622582236	100.786597731078	IL1RN;IFITM2;INPPL1;UBE2L6;IFI35;IFI30;IFIT1;IFIT3;ICAM1;BLNK;CASP1;TRIM25;B2M;IFNAR2;GBP5;SYK;DDX58;HGF;IL18;IRAK4;VAV1;HCK;IL1A;ADAM17;IFI27;IL1B;IRF1;IL3RA;IRF7;IRF8;IRF5;IL6ST;CD44;IRF9;UBA7;IL2RG;CSF2RA;USP18;SOCS3;NRAS;INPP5D;GBP3;LYN;VCAM1;STAT2;STAT3;MX1;EIF2AK2;ISG15;PSMB8;NFKB2;ISG20;TEC;TNIP2;CDK1;PTPN6;XAF1;MYD88	BioPlanet_2019	up
BioPlanet_2019.10	Thymic stromal lymphopoietin (TSLP) pathway	29	90	2.76013673653032e-12	3.37012695530352e-10	0	0	6.20448419079792	165.136943610676	CD86;CD274;CD84;CD83;CD82;CSF1;SLC44A1;CXCL1;TNFRSF11B;CXCL13;IL2RG;ICAM1;MYC;CCL4;CCL3;CCL2;CCR6;CCR5;TGFB1;PSMB8;PSMB9;CXCL10;IL1B;IRF1;IL3RA;BCL3;PSME1;PSME2;CD9	BioPlanet_2019	up
BioPlanet_2019.11	TNF-alpha effects on cytokine activity, cell motility, and apoptosis	36	135	3.82014174216092e-12	4.24035733379862e-10	0	0	4.75950999355255	125.131009253344	IL1RN;CD83;GMFB;CSF1;NOTCH4;PDGFB;TNFAIP2;CXCL1;TNF;ICAM1;RELB;CCL5;CCL4;IL12B;CCL2;CD14;IFNAR2;SMAD3;VCAM1;GPX1;CD70;HGF;SPHK1;CFLAR;FLI1;NFKB2;NFKBIA;CXCL10;IL1A;IL1B;IRF1;TNFSF8;LCP2;ITGA5;ABCG1;CD44	BioPlanet_2019	up
BioPlanet_2019.12	Interleukin-1 regulation of extracellular matrix	33	120	1.2029839155165e-11	1.22403613403804e-09	0	0	4.95734192351807	124.64557584934	IL1RN;CFH;RRAD;TNFAIP2;TNFRSF11B;CXCL1;TNF;ICAM1;KLK6;ZFP36;CCL7;CCL5;CCL4;SPP1;CCL2;ANXA9;A2M;SRGN;SMAD3;MMP3;AMPD3;RUNX1;BMP4;NFKBIA;MMP12;IL1A;MMP11;LOX;IL1B;PTX3;LCP1;PTGES;MATN2	BioPlanet_2019	up
BioPlanet_2019.13	BDNF signaling pathway	52	261	1.71071282262456e-11	1.6067541203266e-09	0	0	3.27425123392804	81.1736842164626	CDKN1A;DOCK4;IFITM2;BTG1;ITGB5;ARPC1B;HMGB3;HSPB1;PLAT;CLU;ZFP36;MYC;BDKRB2;TIMP1;JUNB;CLIC1;CHGB;TMOD1;KLF10;DUSP5;PDGFRA;IGFBP5;HGF;HPCAL1;FNDC3A;EMP3;TGFBR2;ITPKB;VCAN;ZEB1;TXNIP;BIRC5;ATF3;NTS;ADD3;PTGS1;BCL2L11;SPP1;FLNC;PDLIM4;S100A11;S100A10;CADM1;GADD45A;GDF15;GFPT1;PHKB;MARCKS;NFIB;PLP2;TGFBI;LIMS1	BioPlanet_2019	up
BioPlanet_2019.14	Innate immune system	59	319	1.88595807253307e-11	1.64482486183063e-09	0	0	2.99302867284122	73.9098502562484	PROS1;UBE2D3;UBE2L6;CTSS;C4B;IFIH1;PYCARD;C4A;LGALS3;CASP8;CTSL;DHX58;CASP4;CASP1;TRIM25;CCR6;CTSB;ZBP1;TICAM2;RIPK3;DDX58;CD180;IRAK4;TLR1;RNF125;AIM2;MAPKAPK3;IRF1;BTK;IRF7;TXNIP;TLR7;MASP1;TLR3;BIRC2;TLR2;C1QB;C1QA;CFH;UBA7;UNC93B1;NLRC5;LY96;PLCG2;CD14;LY86;ISG15;S100B;NFKB2;MAPK13;NFKBIA;P2RX7;CAPZA1;SAA1;BCL2;CDK1;MYD88;LGMN;C1QC	BioPlanet_2019	up
BioPlanet_2019.15	Leptin influence on immune response	30	110	1.28399799674007e-10	1.04517436934641e-08	0	0	4.89247881355932	111.430472613938	CX3CR1;IL1RN;CSF3R;ITGAM;NCF2;NCF4;TNFRSF11B;CXCL1;TNF;CTSS;CXCL16;SOCS3;ALCAM;CCL5;CCRL2;CCL4;ITGAX;CCL2;CD36;TIMP1;SOCS4;ABCA1;FCER1G;BATF;STAR;IL1B;ALOX5AP;BCL2;IRF8;FCGR2B	BioPlanet_2019	up
