Term	list	set	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	database	direction
BioPlanet_2019.1	TGF-beta regulation of extracellular matrix	19	565	2.76565892003765e-05	0.0154047201846097	0	0	3.2011322011322	33.5979521459767	RB1;ARNT2;VCAM1;SDC4;HGF;MGST1;CROT;AEBP1;F3;LGALS3;SFRP4;EFEMP1;LOX;NFIB;RBP1;BDKRB2;APOE;A2M;SCRG1	BioPlanet_2019	up
BioPlanet_2019.2	Complement and coagulation cascades	6	70	0.000146616154012033	0.0408325988923513	0	0	8.32263513513514	73.4696644576449	C4B;C4A;BDKRB2;MASP1;A2M;F3	BioPlanet_2019	up
BioPlanet_2019.3	Malaria	5	51	0.00028241749673979	0.0418264540716134	0	0	9.61493468512381	78.5744394310986	VCAM1;SDC4;HGF;SDC2;THBS3	BioPlanet_2019	up
BioPlanet_2019.4	Carbohydrate metabolism	10	235	0.000381432594510719	0.0418264540716134	0	0	3.98511722731906	31.3691547507732	PFKFB2;UGP2;SDC4;SDC2;NCAN;PHKB;SLC2A4;FMOD;CD44;PGM1	BioPlanet_2019	up
BioPlanet_2019.5	ECM-receptor interaction	6	84	0.000398228365558287	0.0418264540716134	0	0	6.82397782397782	53.4214075878299	SDC4;SDC2;ITGB8;ITGAV;CD44;THBS3	BioPlanet_2019	up
BioPlanet_2019.6	Lectin-induced complement pathway	3	14	0.000485015896596396	0.0418264540716134	0	0	23.9527272727273	182.79113965644	C4B;C4A;MASP1	BioPlanet_2019	up
BioPlanet_2019.7	Stress induction of HSP regulation	3	15	0.000601184613752282	0.0418264540716134	0	0	21.9555555555556	162.835759801296	MAPKAPK3;BCL2;FAS	BioPlanet_2019	up
BioPlanet_2019.8	Glycogen metabolism	4	36	0.000727719279250243	0.0418264540716134	0	0	11.015625	79.5944470099745	UGP2;PPP2R5A;PHKB;PGM1	BioPlanet_2019	up
BioPlanet_2019.9	Cell adhesion molecules (CAMs)	7	133	0.00084233074534139	0.0418264540716134	0	0	4.938662644545	34.9624611985465	ALCAM;VCAM1;SDC4;CADM1;SDC2;ITGB8;ITGAV	BioPlanet_2019	up
BioPlanet_2019.10	Complement activation, classical pathway	3	17	0.000883476354129084	0.0418264540716134	0	0	18.8171428571429	132.315487875338	C4B;C4A;MASP1	BioPlanet_2019	up
BioPlanet_2019.11	Integrin beta-5 pathway	3	17	0.000883476354129084	0.0418264540716134	0	0	18.8171428571429	132.315487875338	VCAM1;ITGB8;ITGAV	BioPlanet_2019	up
BioPlanet_2019.12	Vitamin A and carotenoid metabolism	4	39	0.000989373734939719	0.0418264540716134	0	0	10.0698979591837	69.6679687850727	RETSAT;RBP1;RARA;RLBP1	BioPlanet_2019	up
BioPlanet_2019.13	FAS pathway and stress induction of heat shock protein regulation	4	39	0.000989373734939719	0.0418264540716134	0	0	10.0698979591837	69.6679687850727	RB1;MAPKAPK3;BCL2;FAS	BioPlanet_2019	up
BioPlanet_2019.14	Transcriptional activity regulation by PML	3	18	0.00105129328007646	0.0418264540716134	0	0	17.5617777777778	120.434003682855	RB1;RARA;FAS	BioPlanet_2019	up
BioPlanet_2019.15	Gastrin pathway	4	44	0.00156195919684834	0.0580007515096351	0	0	8.80892857142857	56.9216610534668	HGF;BCL2;ITGAV;CD44	BioPlanet_2019	up
BioPlanet_2019.16	Activation of C3 and C5	2	6	0.00188315349863043	0.0655572811710719	0	0	43.7345132743363	274.425652536979	C4B;C4A	BioPlanet_2019	up
BioPlanet_2019.17	Response to elevated platelet cytosolic calcium	5	83	0.00260075665898324	0.0852130270031568	0	0	5.66114752213407	33.6948831490602	CD63;HGF;SCG3;A2M;CLU	BioPlanet_2019	up
BioPlanet_2019.18	Tetrasaccharide linker sequence formation in glycosaminoglycan biosynthesis	3	26	0.00313227878512911	0.0876687425823184	0	0	11.4486956521739	66.0131160820115	SDC4;NCAN;SDC2	BioPlanet_2019	up
BioPlanet_2019.19	Galactose metabolism	3	26	0.00313227878512911	0.0876687425823184	0	0	11.4486956521739	66.0131160820115	UGP2;GLA;PGM1	BioPlanet_2019	up
BioPlanet_2019.20	BDNF signaling pathway	9	261	0.00314954072694696	0.0876687425823184	0	0	3.18330071754729	18.3373994469601	ITPKB;CADM1;IGFBP5;NFIB;HGF;BDKRB2;PHKB;ADD3;CLU	BioPlanet_2019	up
BioPlanet_2019.21	Aflatoxin B1 metabolism	2	8	0.0034626792402352	0.0876687425823184	0	0	29.1533923303835	165.174743503135	GSTM1;EPHX1	BioPlanet_2019	up
BioPlanet_2019.22	Glycogen biosynthesis	2	8	0.0034626792402352	0.0876687425823184	0	0	29.1533923303835	165.174743503135	UGP2;PGM1	BioPlanet_2019	up
BioPlanet_2019.23	Adipogenesis	6	133	0.00424059746758069	0.102549826002215	0	0	4.18067673973186	22.8392506930925	RB1;SFRP4;RARA;ID3;FAS;SLC2A4	BioPlanet_2019	up
BioPlanet_2019.24	Alpha-4 beta-7 integrin signaling	2	9	0.00441866395700749	0.102549826002215	0	0	24.9873577749684	135.479402412701	VCAM1;CD44	BioPlanet_2019	up
BioPlanet_2019.25	Retinoic acid receptor-mediated signaling	3	30	0.00473029529189065	0.105390979103324	0	0	9.75061728395062	52.2025393711495	HDAC1;RBP1;RARA	BioPlanet_2019	up
BioPlanet_2019.26	Glucose metabolism	4	61	0.00516598078379252	0.110671203714324	0	0	6.17637844611529	32.5227108065693	PFKFB2;UGP2;PHKB;PGM1	BioPlanet_2019	up
BioPlanet_2019.27	PIP biosynthesis at the late endosome membrane	2	10	0.00548198929536132	0.113091408796898	0	0	21.8628318584071	113.824182398966	PIKFYVE;MTM1	BioPlanet_2019	up
BioPlanet_2019.28	Cystic fibrosis transmembrane conductance regulator (CFTR) and beta 2 adrenergic receptor (b2AR) pathway	2	11	0.0066501054637538	0.132289597975388	0	0	19.4326450344149	97.4182313241115	SLC9A3R1;EZR	BioPlanet_2019	up
BioPlanet_2019.29	EGFR1 pathway	6	152	0.00803084885731368	0.154247683224956	0	0	3.63309885227693	17.5277584209698	GJB2;SDC4;PIK3IP1;HGF;ID3;PBXIP1	BioPlanet_2019	up
BioPlanet_2019.30	Glycosaminoglycan metabolism	5	110	0.00856982331221633	0.15911305283015	0	0	4.19965833867179	19.988308147222	SDC4;SDC2;NCAN;FMOD;CD44	BioPlanet_2019	up
BioPlanet_2019.31	Advanced glycosylation endproduct receptor signaling	2	13	0.00929072913653967	0.161716754032894	0	0	15.8978278358809	74.3817750773847	LGALS3;S100B	BioPlanet_2019	up
BioPlanet_2019.32	PIP biosynthesis at the early endosome membrane	2	13	0.00929072913653967	0.161716754032894	0	0	15.8978278358809	74.3817750773847	PIKFYVE;MTM1	BioPlanet_2019	up
BioPlanet_2019.33	CARM1 transcriptional regulation by protein methylation	2	14	0.0107583531005719	0.167546068140485	0	0	14.5722713864307	66.042594690388	BCL2;RARA	BioPlanet_2019	up
BioPlanet_2019.34	Complement cascade regulation	2	14	0.0107583531005719	0.167546068140485	0	0	14.5722713864307	66.042594690388	C4B;C4A	BioPlanet_2019	up
BioPlanet_2019.35	Glycogen breakdown (glycogenolysis)	2	14	0.0107583531005719	0.167546068140485	0	0	14.5722713864307	66.042594690388	PHKB;PGM1	BioPlanet_2019	up
BioPlanet_2019.36	FSH regulation of apoptosis	8	263	0.0108288302568357	0.167546068140485	0	0	2.78317290552585	12.5953693097857	SFRP4;IGFBP5;AXL;SDC2;IDH1;APOE;EZR;CLU	BioPlanet_2019	up
BioPlanet_2019.37	HDL-mediated lipid transport	2	15	0.0123209995359693	0.185480993014457	0	0	13.4506466984343	59.1350982733248	APOE;A2M	BioPlanet_2019	up
BioPlanet_2019.38	Inhibitor of DNA binding (ID) signaling pathway	2	16	0.0139763308348003	0.204863586183784	0	0	12.4892541087231	53.3339862878942	RB1;ID3	BioPlanet_2019	up
BioPlanet_2019.39	Actin cytoskeleton regulation	7	226	0.0152462914929558	0.217748316963497	0	0	2.82797165230687	11.8305903029554	PIKFYVE;MRAS;BDKRB2;ITGB8;ITGAV;EZR;GNG12	BioPlanet_2019	up
BioPlanet_2019.40	Delta Np63 pathway	3	47	0.0164028273807762	0.224772782008873	0	0	5.97818181818182	24.5721300397528	AXL;BDKRB2;PPP2R5A	BioPlanet_2019	up
BioPlanet_2019.41	Wnt signaling pathway	7	231	0.0169889715245455	0.224772782008873	0	0	2.76414027149321	11.2643992234813	SFRP4;DAAM2;HDAC1;RARA;PPP2R5A;SOX9;DKK3	BioPlanet_2019	up
BioPlanet_2019.42	Metabolism	28	1615	0.0171926038753721	0.224772782008873	0	0	1.60422180214241	6.51839593912147	PFKFB2;PANK3;GLDC;NCAN;PON2;MGST1;CROT;MTM1;UGP2;NAPRT;APOE;A2M;PGM1;CBR3;GSTM1;IDH1;PAX6;PHKB;CMBL;GNG12;CYP7B1;PRDX6;ITPKB;GALC;PIKFYVE;FMOD;GLA;CD44	BioPlanet_2019	up
BioPlanet_2019.43	Chondroitin sulfate/dermatan sulfate metabolism	3	48	0.0173522973543654	0.224772782008873	0	0	5.84503703703704	23.6959576560759	SDC4;NCAN;SDC2	BioPlanet_2019	up
BioPlanet_2019.44	Telomeres, telomerase, cellular aging, and immortality	2	19	0.0194756622376519	0.236524705510541	0	0	10.2837064029151	40.5032999446358	RB1;BCL2	BioPlanet_2019	up
BioPlanet_2019.45	Glutathione metabolism	3	51	0.0203815774705047	0.236524705510541	0	0	5.47888888888889	21.3299930120234	GSTM1;IDH1;MGST1	BioPlanet_2019	up
BioPlanet_2019.46	Heparan sulfate/heparin glycosaminoglycan (HS-GAG) metabolism	3	52	0.0214517724924551	0.236524705510541	0	0	5.36680272108844	20.6189769986118	SDC4;NCAN;SDC2	BioPlanet_2019	up
BioPlanet_2019.47	Interleukin-2 receptor beta chain in T cell activation	3	52	0.0214517724924551	0.236524705510541	0	0	5.36680272108844	20.6189769986118	RB1;BCL2;FAS	BioPlanet_2019	up
BioPlanet_2019.48	Peroxisomal lipid metabolism	2	20	0.0214791585202303	0.236524705510541	0	0	9.71189773844641	37.3002155090206	IDH1;CROT	BioPlanet_2019	up
BioPlanet_2019.49	Heparan sulfate/heparin glycosaminoglycan (HS-GAG) degradation	2	20	0.0214791585202303	0.236524705510541	0	0	9.71189773844641	37.3002155090206	SDC4;SDC2	BioPlanet_2019	up
BioPlanet_2019.50	Biological oxidations	5	139	0.0216566606481824	0.236524705510541	0	0	3.28592463690516	12.5931163123898	GSTM1;UGP2;SMOX;MGST1;CYP7B1	BioPlanet_2019	up
BioPlanet_2019.51	p53 signaling pathway	5	139	0.0216566606481824	0.236524705510541	0	0	3.28592463690516	12.5931163123898	RB1;HGF;BCL2;BDKRB2;FAS	BioPlanet_2019	up
BioPlanet_2019.52	L1CAM interactions	4	94	0.0226087416021222	0.242174405238117	0	0	3.90515873015873	14.7982813269303	ALCAM;NCAN;ITGAV;EZR	BioPlanet_2019	up
BioPlanet_2019.53	Prion pathway	2	21	0.0235642475520447	0.247646903518659	0	0	9.20027945971123	34.4828742005899	BCL2;GFAP	BioPlanet_2019	up
BioPlanet_2019.54	Senescence and autophagy	4	99	0.0267218840664729	0.275631285648619	0	0	3.69868421052632	13.3976418109971	RB1;IGFBP5;BCL2;CD44	BioPlanet_2019	up
BioPlanet_2019.55	Interleukin-11 pathway	2	23	0.0279708271929821	0.283268195390746	0	0	8.32321955330805	29.7687704390925	PDPN;BCL2	BioPlanet_2019	up
BioPlanet_2019.56	HIV-1 Nef as negative effector of Fas and TNF	3	58	0.0285078674854605	0.283551467667884	0	0	4.77987878787879	17.0047781280839	RB1;BCL2;FAS	BioPlanet_2019	up
BioPlanet_2019.57	Caspase cascade in apoptosis	3	59	0.0297894189372099	0.287848156185135	0	0	4.69428571428571	16.4938517575808	BCL2;FAS;VIM	BioPlanet_2019	up
BioPlanet_2019.58	Platelet activation, signaling and aggregation	6	205	0.0303977144958552	0.287848156185135	0	0	2.65829145728643	9.28644309048216	CD63;HGF;SCG3;A2M;GNG12;CLU	BioPlanet_2019	up
BioPlanet_2019.59	RAGE pathway	3	60	0.0311009697535806	0.287848156185135	0	0	4.61169590643275	16.0049657147479	VCAM1;ID3;F3	BioPlanet_2019	up
BioPlanet_2019.60	FGF signaling pathway	3	61	0.0324424369290108	0.287848156185135	0	0	4.53195402298851	15.5368432828531	SDC4;HGF;SDC2	BioPlanet_2019	up
BioPlanet_2019.61	Ghrelin pathway	2	25	0.0326790142556475	0.287848156185135	0	0	7.59869180454021	25.9952931489821	BCL2;MYH6	BioPlanet_2019	up
BioPlanet_2019.62	Glutathione conjugation	2	25	0.0326790142556475	0.287848156185135	0	0	7.59869180454021	25.9952931489821	GSTM1;MGST1	BioPlanet_2019	up
