Term	list	set	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	database	direction
BioPlanet_2019.1	Immune system	101	998	2.01541155298583e-24	2.00936531832687e-21	0	0	3.72865666324413	203.440052080529	CD86;IL1RN;NCF1;NCF2;PROS1;NCF4;UBE2D3;IFI30;ICAM1;PYCARD;DHX58;B2M;ZBP1;WSB1;TICAM2;CD180;TAP2;CYBB;CYBA;ADAM17;TYROBP;BTK;ORAI1;TXNIP;IL6ST;CARD11;CD274;CFH;UBA7;ITPR2;LY96;CSF2RA;RASGRP3;SOCS3;INPP5D;PLCG2;CD14;LYN;CTSA;VASP;LY86;NFKB2;NFKBIA;PTPRC;MYD88;LGMN;IGHM;CDKN1A;ITGB5;ITGB2;CTSS;CASP8;CTSL;CASP4;BLNK;CASP1;CTSH;CCR6;CD36;CTSE;CTSD;CTSC;CTSB;RIPK3;SYK;IRAK4;VAV1;TAPBP;TLR1;HCK;IL1A;CD200R1;AIM2;IL1B;IRF1;IRF8;LCP2;TLR7;IRF5;HCST;TLR3;TLR2;C1QB;C1QA;UNC93B1;WAS;FYB;NRAS;CD74;PSMB8;PSMB9;P2RX7;TEC;TNIP2;CAPZA1;PTPN6;PDCD1;FCGR2B;PIK3AP1;SIPA1;C1QC	BioPlanet_2019	up
BioPlanet_2019.2	Interleukin-2 signaling pathway	89	847	1.21212742901747e-22	6.04245523365208e-20	0	0	3.83484426225707	193.523479191619	TES;BTG1;ITGAM;CSF1;DOCK8;ITGB2;CTSZ;PDE3B;PLEK;LSP1;LITAF;LYST;TNF;CTSS;ICAM1;RBM3;ZFP36;RGS1;MYC;SLCO2B1;ITGAX;CASP1;CTSH;CCR6;CCR5;CYTIP;CTSD;CTSC;CTSB;CD53;SRGN;DUSP5;CD52;FCER1G;SYK;CD300A;VWA5A;PLAUR;EMP3;RHOA;TGFBR2;FGR;ELF1;SLC7A7;IL1B;IRF1;ADAM8;ANG;LCP2;IRF5;IL6ST;SGK1;CX3CR1;PFKFB3;CBFB;HPN;ITPR2;RRBP1;SLC1A5;LY9;AIF1;CSF2RA;FYB;SOCS3;NRAS;CYTH4;MAT2A;CCL5;INPP5D;UCP2;CCL4;CCL3;IL21R;RAB29;LYN;SMAD3;LAPTM5;CFLAR;GPR137B;PTPRC;EVI2A;GPR183;RGS10;PLXNB2;PTPN6;CD68;LPIN2;MYO1F;LIMS1	BioPlanet_2019	up
BioPlanet_2019.3	T cell receptor regulation of apoptosis	66	603	7.47614673131958e-18	2.48457276370854e-15	0	0	3.90410312547184	153.957581204735	CD86;CDKN1A;IL1RN;VIPR1;BTG1;CD83;ITGB2;PDE3B;LSP1;TNF;RCBTB2;PYCARD;MYC;ARHGDIB;CASP4;RAC2;CASP1;CCR6;LGALS8;CCR5;JUNB;CTSB;ACTR3;DUSP5;FCER1G;SPHK1;RHOH;CYBB;PLA2G4A;MR1;TLR1;CH25H;IL1A;DOK1;SOAT1;IL1B;IRF1;TLR7;LCP1;ATF3;TLR3;TLR2;CSF1R;SHMT1;FYB;RELB;NRAS;CCL5;CCL4;CCL3;IL21R;IGFBP6;MCL1;MSR1;TGFB1;SEMA4D;GADD45B;IL10RB;NFATC1;CFLAR;PSMB8;PSMB9;NFKBIA;CXCL10;PTPRC;BCL3	BioPlanet_2019	up
BioPlanet_2019.4	Lysosome	28	121	2.22559928039787e-16	5.54730620639169e-14	0	0	9.19904420549582	331.545836365061	ASAH1;CTSZ;HEXA;GBA;TCIRG1;LIPA;GNS;CTSS;CLN5;CLN3;NAGLU;CTSL;NEU1;CTSH;CTSE;GUSB;CTSD;CTSC;CTSB;CTSA;SLC11A1;LAPTM5;NPC2;MAN2B1;TPP1;CD68;ATP6V0D2;LGMN	BioPlanet_2019	up
BioPlanet_2019.5	Toll-like receptor signaling pathway regulation	29	142	2.25220889182514e-15	4.49090453029933e-13	0	0	7.84558999395022	264.607154026636	CD86;LY96;TNF;PIK3CG;PIK3R5;CASP8;CCL5;NEU1;CCL4;CCL3;SPP1;IL12B;CD14;TICAM2;SYK;CD180;IRAK4;NFKB2;NFKBIA;TLR1;CXCL10;IL1B;BTK;IRF5;TLR7;PTPN6;MYD88;TLR3;TLR2	BioPlanet_2019	up
BioPlanet_2019.6	TNF-alpha effects on cytokine activity, cell motility, and apoptosis	27	135	3.59854901201649e-14	5.97958894163407e-12	0	0	7.62044374009509	235.895869962961	IL1RN;CD83;CSF1;PDGFB;TNFAIP2;TNF;ICAM1;RELB;CCL5;CCL4;IL12B;CCL2;CD14;SMAD3;GPX1;SPHK1;CFLAR;FLI1;NFKB2;NFKBIA;CXCL10;IL1A;IL1B;IRF1;TNFSF8;LCP2;ITGA5	BioPlanet_2019	up
BioPlanet_2019.7	Hemostasis pathway	51	468	5.97185543221388e-14	8.50562837988177e-12	0	0	3.81312742227964	116.106426429715	CD84;DOCK4;ITGAM;PROS1;DOCK8;ITGB2;PDE3B;PLEK;PIK3CG;DOCK11;GNGT2;ITGAX;RAC2;CD36;SRGN;FCER1G;SYK;SERPINF2;PLAUR;PLA2G4A;RHOA;VAV1;APBB1IP;FGR;F9;SLC7A7;IRF1;ORAI1;LCP2;CD48;ITGA5;DOCK2;SELPLG;PDGFB;ITPR2;PRCP;TFPI;PIK3R5;GNA13;NRAS;GNA15;INPP5D;PLCG2;SH2B2;LYN;P2RY12;TGFB1;MERTK;CAPZA1;MAFK;PTPN6	BioPlanet_2019	up
BioPlanet_2019.8	Adaptive immune system	59	606	8.77242975700207e-14	9.89111908319353e-12	0	0	3.38438836207817	101.750206136326	CD86;IGHM;CDKN1A;NCF1;ITGB5;NCF2;NCF4;UBE2D3;ITGB2;IFI30;CTSS;ICAM1;CTSL;BLNK;CTSH;CD36;CTSE;B2M;CTSD;CTSC;CTSB;WSB1;SYK;TAP2;CYBB;CYBA;VAV1;TAPBP;CD200R1;TYROBP;BTK;ORAI1;LCP2;HCST;CARD11;CD274;UBA7;WAS;ITPR2;FYB;RASGRP3;SOCS3;NRAS;INPP5D;PLCG2;LYN;CTSA;VASP;CD74;PSMB8;PSMB9;NFKBIA;PTPRC;PTPN6;PDCD1;FCGR2B;PIK3AP1;SIPA1;LGMN	BioPlanet_2019	up
BioPlanet_2019.9	Antigen-activated B-cell receptor generation of second messengers	33	211	8.9287935555408e-14	9.89111908319353e-12	0	0	5.68460224719101	170.80473219991	IGHM;ITPR2;PIK3CG;PIK3R5;RASGRP3;NRAS;MYC;INPP5D;SH3BP2;PLCG2;RAC2;BLNK;LYN;PTPN18;CD72;SYK;NFATC1;POU2F2;VAV1;NFKB2;LAT2;NFKBIA;DOK1;PTPRC;TEC;BTK;ORAI1;HCLS1;PTPN6;FCGR2B;PIK3AP1;CD22;CARD11	BioPlanet_2019	up
BioPlanet_2019.10	Chagas disease	23	104	3.02833234134123e-13	3.01924734431721e-11	0	0	8.61287061339555	248.271112538349	C1QB;C1QA;SMAD3;TGFB1;IRAK4;CFLAR;TNF;PIK3CG;TGFBR1;PIK3R5;TGFBR2;NFKBIA;GNA15;CASP8;IL1B;CCL5;CCL3;IL12B;CCL2;PLCB2;MYD88;TLR2;C1QC	BioPlanet_2019	up
BioPlanet_2019.11	Innate immune system	40	319	3.79852793855309e-13	3.44284759521584e-11	0	0	4.42240549349851	126.476341990875	C1QB;C1QA;CFH;UBA7;UNC93B1;PROS1;UBE2D3;LY96;CTSS;PYCARD;CASP8;CTSL;DHX58;CASP4;PLCG2;CASP1;CD14;CCR6;CTSB;ZBP1;TICAM2;RIPK3;CD180;LY86;IRAK4;NFKB2;TLR1;NFKBIA;P2RX7;AIM2;CAPZA1;IRF1;BTK;TXNIP;TLR7;TLR3;MYD88;LGMN;TLR2;C1QC	BioPlanet_2019	up
BioPlanet_2019.12	Leptin influence on immune response	23	110	1.06710940102626e-12	8.8659006068598e-11	0	0	8.01638157299303	220.980116488357	ABCA1;CX3CR1;IL1RN;CSF3R;ITGAM;FCER1G;NCF2;NCF4;TNF;CTSS;CXCL16;BATF;SOCS3;IL1B;CCL5;CCRL2;CCL4;ALOX5AP;ITGAX;IRF8;CCL2;CD36;FCGR2B	BioPlanet_2019	up
BioPlanet_2019.13	Fc gamma receptor-mediated phagocytosis	21	94	2.65512864577946e-12	2.03627943064778e-10	0	0	8.70194189372272	231.946153932433	LYN;VASP;NCF1;SYK;ARPC1B;SPHK1;WAS;PLA2G4A;ARPC5;PIK3CG;VAV1;PIK3R5;HCK;MARCKS;PTPRC;INPP5D;RAC2;PLCG2;DOCK2;FCGR2B;WASF2	BioPlanet_2019	up
BioPlanet_2019.14	PI3K class IB pathway in neutrophils	15	43	3.1530010471567e-12	2.2453871742966e-10	0	0	16.0914241279716	426.143817134299	NCF1;C5AR1;PIK3CG;RHOA;VAV1;PIK3R5;FGR;HCK;NRAS;CYTH4;INPP5D;RAC2;BTK;DOCK2;MYO1F	BioPlanet_2019	up
BioPlanet_2019.15	Chemokine signaling pathway	29	189	4.70442370162936e-12	3.12687362034965e-10	0	0	5.52740461049285	144.168629344187	CX3CR1;NCF1;ROCK1;WAS;CXCR6;CXCL13;ADCY7;PIK3CG;CXCL16;PIK3R5;NRAS;GNGT2;CCL7;CCL5;CCL4;RAC2;CCL3;CCL2;CCR6;CCR5;LYN;RHOA;VAV1;NFKBIA;FGR;CXCL10;HCK;DOCK2;PLCB2	BioPlanet_2019	up
BioPlanet_2019.16	Interleukin-5 regulation of apoptosis	25	144	8.79560525555903e-12	5.48076152487022e-10	0	0	6.37985051840641	162.41038040375	EBI3;HEXA;ITGB2;HIF1A;ICAM1;RELB;RAB21;IL1RL1;CASP4;CCL3;IL21R;IL12B;CCL2;DUSP5;ANXA3;RHOH;NFKB2;MMP12;TLR1;IL1A;IL1B;LCP2;SGK1;MYD88;NFE2L2	BioPlanet_2019	up
BioPlanet_2019.17	Thymic stromal lymphopoietin (TSLP) pathway	20	90	9.78843097790341e-12	5.74062687351159e-10	0	0	8.63054187192118	218.78268243839	CD86;CD274;CD84;CD83;TGFB1;CSF1;CXCL13;PSMB8;ICAM1;PSMB9;CXCL10;MYC;IL1B;IRF1;CCL4;BCL3;CCL3;CCL2;CCR6;CCR5	BioPlanet_2019	up
BioPlanet_2019.18	Oncostatin M	37	311	1.43051155540328e-11	7.78290364532526e-10	0	0	4.14633802320251	103.535735193317	VIPR1;CDKN1A;RRAD;LPL;HSPB3;HIF1A;HK2;ICAM1;SOCS3;NRAS;CASP8;CCL7;MYC;SLCO2B1;CCL5;CASP4;HMOX1;CTSH;CCL2;IGFBP6;B2M;JUNB;CTSB;IL13RA1;TGM2;LYN;KLF10;ANXA3;MGMT;PLAUR;PLA2G4A;RNASE4;P2RX7;CH25H;IRF1;IL6ST;ATF3	BioPlanet_2019	up
BioPlanet_2019.19	Interleukin-4 regulation of apoptosis	34	267	1.4832012965013e-11	7.78290364532526e-10	0	0	4.46865026961594	111.422368059227	CD86;IL1RN;CDKN1A;CEBPB;ITGAM;GCNT1;FGL2;PDGFB;LPL;TFPI;LITAF;TNF;PIK3CG;MS4A4A;RASGRP3;BCL2L11;CTSL;MYC;SPP1;CCL2;CTSC;IL13RA1;ST6GAL1;FCER1G;GADD45B;DENND4A;IL10RA;ARHGAP25;CH25H;MAF;GPR183;ALOX5AP;TLR2;FKBP5	BioPlanet_2019	up
BioPlanet_2019.20	Cytokine-cytokine receptor interaction	33	265	5.43356704761569e-11	2.70863317323642e-09	0	0	4.3491724137931	102.796344130372	CX3CR1;CSF1R;CSF3R;TNFRSF13B;CSF1;PDGFB;CXCR6;CXCL13;TNF;CSF2RA;CXCL16;CCL7;CCL5;CCL4;CCL3;IL21R;IL12B;CCL2;CCR6;CCR5;IL13RA1;TGFB1;IL10RB;IL10RA;TGFBR1;TGFBR2;IL1A;CXCL10;IL1B;TNFSF9;TNFSF8;LTBR;IL6ST	BioPlanet_2019	up
BioPlanet_2019.21	Cross-presentation of particulate exogenous antigens (phagosomes)	7	8	3.1431008491603e-10	1.49222454600611e-08	0	0	207.967741935484	4550.46751869986	ITGB5;NCF1;NCF2;NCF4;CYBB;CYBA;CD36	BioPlanet_2019	up
BioPlanet_2019.22	Signaling by interleukins	20	109	3.84478072022954e-10	1.74238471730403e-08	0	0	6.78137437920468	147.014326301786	LYN;IL1RN;SYK;IRAK4;CSF2RA;VAV1;NFKB2;SOCS3;HCK;IL1A;NRAS;TEC;TNIP2;INPP5D;IL1B;BLNK;CASP1;PTPN6;IL6ST;MYD88	BioPlanet_2019	up
BioPlanet_2019.23	Leishmaniasis	16	72	1.16692177883516e-09	5.05835223260286e-08	0	0	8.58299955496217	176.542829621008	ITGAM;TGFB1;NCF1;NCF2;ITGB2;NCF4;CYBA;IRAK4;TNF;NFKBIA;IL1A;IL1B;IL12B;PTPN6;MYD88;TLR2	BioPlanet_2019	up
BioPlanet_2019.24	Interleukin-1 regulation of extracellular matrix	20	120	2.2458862811844e-09	9.32978592642019e-08	0	0	6.03197492163009	120.121747566543	SRGN;IL1RN;SMAD3;CFH;RRAD;TNFAIP2;TNF;ICAM1;RUNX1;NFKBIA;MMP12;IL1A;ZFP36;CCL7;IL1B;CCL5;CCL4;SPP1;CCL2;LCP1	BioPlanet_2019	up
BioPlanet_2019.25	Toll receptor cascades	23	159	2.51174530645756e-09	1.00168402821528e-07	0	0	5.1150764242705	101.29021641471	ZBP1;TICAM2;RIPK3;UNC93B1;UBE2D3;CD180;LY86;LY96;IRAK4;CTSS;NFKB2;NFKBIA;TLR1;CTSL;BTK;PLCG2;TLR7;CD14;MYD88;TLR3;LGMN;CTSB;TLR2	BioPlanet_2019	up
BioPlanet_2019.26	Phagosome	22	154	7.06625702393745e-09	2.70963778956371e-07	0	0	5.03406708595388	94.4790434215272	MSR1;ITGAM;NCF1;ITGB5;NCF2;NCF4;ITGB2;TAP2;CYBB;CYBA;TCIRG1;CTSS;TUBB6;CLEC7A;CTSL;CD14;CD36;ITGA5;RAB7B;FCGR2B;ATP6V0D2;TLR2	BioPlanet_2019	up
BioPlanet_2019.27	Leukocyte transendothelial migration	19	117	8.81374847904609e-09	3.25455823466998e-07	0	0	5.83877870396985	108.291554243495	VASP;ITGAM;NCF1;ROCK1;NCF2;NCF4;ITGB2;CYBB;MSN;RHOH;CYBA;PIK3CG;RHOA;VAV1;ICAM1;PIK3R5;PLCG2;RAC2;SIPA1	BioPlanet_2019	up
BioPlanet_2019.28	Thromboxane A2 receptor signaling	13	56	2.41604633769118e-08	8.60285070956468e-07	0	0	9.04586262844781	158.651298484491	LYN;SYK;ROCK1;PIK3CG;RHOA;ICAM1;PIK3R5;FGR;GNA13;HCK;GNA15;PLCB2;TGM2	BioPlanet_2019	up
BioPlanet_2019.29	Toll-like receptor endosomal trafficking and processing	7	12	2.77249190450626e-08	9.53163596135429e-07	0	0	41.5849462365591	723.616914155965	CTSL;UNC93B1;TLR7;CTSS;TLR3;CTSB;LGMN	BioPlanet_2019	up
