Term	list	set	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	database	direction
BioPlanet_2019.1	Post-translational regulation of adherens junction stability and disassembly	3	48	0.0012338156485573	0.243308319115541	0	0	15.5819607843137	104.36242238522	CASP3;SLIT1;MET	BioPlanet_2019	up
BioPlanet_2019.2	G alpha (s) signaling events	4	125	0.00226210550644185	0.243308319115541	0	0	7.78866587957497	47.4443408904057	ADCYAP1;PDE1A;CRH;RXFP1	BioPlanet_2019	up
BioPlanet_2019.3	Signaling by NGF	5	221	0.00293352431699403	0.243308319115541	0	0	5.49308344489067	32.033194829139	ADCYAP1;RASGRF2;CASP3;PDE1A;MAPK13	BioPlanet_2019	up
BioPlanet_2019.4	Epithelial cell signaling in Helicobacter pylori infection	3	68	0.00335597681538677	0.243308319115541	0	0	10.7766515837104	61.3947176900304	CASP3;MET;MAPK13	BioPlanet_2019	up
BioPlanet_2019.5	Interleukin-11 pathway	2	23	0.00456013742720801	0.264487970778064	0	0	22.0276854928018	118.738091354137	WNT5A;MET	BioPlanet_2019	up
BioPlanet_2019.6	Interleukin-4 regulation of apoptosis	5	267	0.00650584622106903	0.314449234018336	0	0	4.51807228915663	22.748738347993	CASP3;WNT5A;KIT;MET;DKK2	BioPlanet_2019	up
BioPlanet_2019.7	Class B GPCRs (secretin family receptors)	3	95	0.00851362423811938	0.352707289864946	0	0	7.60358056265985	36.2393306333532	ADCYAP1;WNT5A;CRH	BioPlanet_2019	up
BioPlanet_2019.8	Pathways in cancer	5	325	0.0143745034060842	0.374577731654735	0	0	3.68825301204819	15.6466729446255	CASP3;WNT5A;KIT;MET;RXRG	BioPlanet_2019	up
BioPlanet_2019.9	Amino sugar and nucleotide sugar metabolism	2	45	0.016762765955722	0.374577731654735	0	0	10.7458085451595	43.9352608551682	CYB5R1;GFPT1	BioPlanet_2019	up
BioPlanet_2019.10	Alpha-6 beta-1 and alpha-6 beta-4 integrin signaling	2	46	0.0174751775637651	0.374577731654735	0	0	10.5010570824524	42.4975031989425	RXRG;MET	BioPlanet_2019	up
BioPlanet_2019.11	Kit receptor transcriptional targets	1	5	0.0218092535740446	0.374577731654735	0	0	57.2068965517241	218.84045903048	KIT	BioPlanet_2019	up
BioPlanet_2019.12	UDP-N-acetyl-glucosamine biosynthesis	1	5	0.0218092535740446	0.374577731654735	0	0	57.2068965517241	218.84045903048	GFPT1	BioPlanet_2019	up
BioPlanet_2019.13	Signaling events mediated by stem cell factor receptor (c-Kit)	2	52	0.0220119259823979	0.374577731654735	0	0	9.23813953488372	35.2543191005031	KIT;STAP1	BioPlanet_2019	up
BioPlanet_2019.14	NGF signaling via TRKA from the plasma membrane	3	136	0.0221859020961329	0.374577731654735	0	0	5.24873949579832	19.9887653449242	ADCYAP1;PDE1A;MAPK13	BioPlanet_2019	up
BioPlanet_2019.15	Amyotrophic lateral sclerosis (ALS)	2	53	0.0228106365369672	0.374577731654735	0	0	9.05654354765162	34.238519517413	CASP3;MAPK13	BioPlanet_2019	up
BioPlanet_2019.16	Activation of TRKA receptors	1	6	0.0261143529165796	0.374577731654735	0	0	45.7632183908046	166.819296056048	ADCYAP1	BioPlanet_2019	up
BioPlanet_2019.17	Pregnenolone biosynthesis	1	6	0.0261143529165796	0.374577731654735	0	0	45.7632183908046	166.819296056048	STAR	BioPlanet_2019	up
BioPlanet_2019.18	NADE-dependent death signaling	1	6	0.0261143529165796	0.374577731654735	0	0	45.7632183908046	166.819296056048	CASP3	BioPlanet_2019	up
BioPlanet_2019.19	Apoptotic factor-mediated response	1	7	0.0304007210272824	0.374577731654735	0	0	38.1340996168582	133.213428918396	CASP3	BioPlanet_2019	up
BioPlanet_2019.20	Wnt/LRP6 signaling	1	7	0.0304007210272824	0.374577731654735	0	0	38.1340996168582	133.213428918396	DKK2	BioPlanet_2019	up
BioPlanet_2019.21	Relaxin receptors	1	8	0.0346684381611494	0.374577731654735	0	0	32.6847290640394	109.883626356627	RXFP1	BioPlanet_2019	up
BioPlanet_2019.22	Sema4D-mediated inhibition of cell attachment and migration	1	8	0.0346684381611494	0.374577731654735	0	0	32.6847290640394	109.883626356627	MET	BioPlanet_2019	up
BioPlanet_2019.23	TSP1-induced apoptosis in microvascular endothelial cell	1	8	0.0346684381611494	0.374577731654735	0	0	32.6847290640394	109.883626356627	CASP3	BioPlanet_2019	up
BioPlanet_2019.24	Rapid glucocorticoid receptor pathway	1	9	0.0389175842996518	0.374577731654735	0	0	28.5977011494253	92.8369772501031	CRH	BioPlanet_2019	up
BioPlanet_2019.25	Urea cycle	1	9	0.0389175842996518	0.374577731654735	0	0	28.5977011494253	92.8369772501031	ARG2	BioPlanet_2019	up
BioPlanet_2019.26	West Nile virus infection	1	9	0.0389175842996518	0.374577731654735	0	0	28.5977011494253	92.8369772501031	CASP3	BioPlanet_2019	up
BioPlanet_2019.27	Adherens junction cell adhesion	2	74	0.0421460283962056	0.374577731654735	0	0	6.40826873385013	20.2925187716649	BAIAP2;MET	BioPlanet_2019	up
BioPlanet_2019.28	Seven transmembrane receptor signaling through beta-arrestin	2	74	0.0421460283962056	0.374577731654735	0	0	6.40826873385013	20.2925187716649	PDE1A;MAPK13	BioPlanet_2019	up
BioPlanet_2019.29	Apoptotic DNA fragmentation and tissue homeostasis	1	10	0.0431482391729825	0.374577731654735	0	0	25.418901660281	79.894497269575	CASP3	BioPlanet_2019	up
BioPlanet_2019.30	DCC role in regulating apoptosis	1	10	0.0431482391729825	0.374577731654735	0	0	25.418901660281	79.894497269575	CASP3	BioPlanet_2019	up
BioPlanet_2019.31	Nef-mediated downregulation of MHC class I complex cell surface expression	1	10	0.0431482391729825	0.374577731654735	0	0	25.418901660281	79.894497269575	AP1S2	BioPlanet_2019	up
BioPlanet_2019.32	Apoptotic cleavage of cell adhesion  proteins	1	11	0.0473604821923679	0.374577731654735	0	0	22.8758620689655	69.7706268553351	CASP3	BioPlanet_2019	up
BioPlanet_2019.33	Down syndrome cell adhesion molecule (DSCAM) interactions	1	11	0.0473604821923679	0.374577731654735	0	0	22.8758620689655	69.7706268553351	MAPK13	BioPlanet_2019	up
BioPlanet_2019.34	p38 gamma/delta MAPK pathway	1	11	0.0473604821923679	0.374577731654735	0	0	22.8758620689655	69.7706268553351	MAPK13	BioPlanet_2019	up
BioPlanet_2019.35	Folate biosynthesis	1	11	0.0473604821923679	0.374577731654735	0	0	22.8758620689655	69.7706268553351	GGH	BioPlanet_2019	up
BioPlanet_2019.36	Apoptosis modulation and signaling	2	80	0.0484867497956324	0.374577731654735	0	0	5.91353607632677	17.897108296312	HRK;CASP3	BioPlanet_2019	up
BioPlanet_2019.37	Granzyme A-mediated apoptosis pathway	1	12	0.0515543924762651	0.374577731654735	0	0	20.7951933124347	61.6601991775763	CASP3	BioPlanet_2019	up
BioPlanet_2019.38	Caspase-mediated cleavage of cytoskeletal proteins	1	12	0.0515543924762651	0.374577731654735	0	0	20.7951933124347	61.6601991775763	CASP3	BioPlanet_2019	up
BioPlanet_2019.39	D4-GDI signaling pathway	1	12	0.0515543924762651	0.374577731654735	0	0	20.7951933124347	61.6601991775763	CASP3	BioPlanet_2019	up
BioPlanet_2019.40	Non-class A, B, C GPCRs	2	86	0.0551496350594298	0.374577731654735	0	0	5.48947951273533	15.9068930578403	RXFP1;CELSR3	BioPlanet_2019	up
