Term	list	set	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	database	direction
BioPlanet_2019.1	Clathrin derived vesicle budding	4	61	0.000978337279994745	0.309154580478339	0	0	9.92431077694236	68.7720605183459	SNAPIN;FTH1;CPD;YIPF6	BioPlanet_2019	up
BioPlanet_2019.2	Caspase cascade in apoptosis	3	59	0.00885430359321449	0.538399501060088	0	0	7.52279635258359	35.5591424002689	GSN;CFL2;BIRC2	BioPlanet_2019	up
BioPlanet_2019.3	Lysosome	4	121	0.0114395492308765	0.538399501060088	0	0	4.82026862026862	21.5498722330171	SCARB2;LAMP1;NPC1;LAMP2	BioPlanet_2019	up
BioPlanet_2019.4	Membrane trafficking	4	133	0.0157090741270984	0.538399501060088	0	0	4.36921373200443	18.1476024801091	SNAPIN;FTH1;CPD;YIPF6	BioPlanet_2019	up
BioPlanet_2019.5	Mitochondrial pathway of apoptosis: caspases	3	77	0.018146853312935	0.538399501060088	0	0	5.6877515813686	22.8036641239276	GSN;CAPN6;BIRC2	BioPlanet_2019	up
BioPlanet_2019.6	Lipoprotein metabolism	2	29	0.0184056087939709	0.538399501060088	0	0	10.3437663015128	41.3243790450506	LDLRAP1;ABCG1	BioPlanet_2019	up
BioPlanet_2019.7	Response to elevated platelet cytosolic calcium	3	83	0.022097809787392	0.538399501060088	0	0	5.25957446808511	20.0509536174275	STXBP3;LAMP2;CD9	BioPlanet_2019	up
BioPlanet_2019.8	Alanine, aspartate and glutamate metabolism	2	32	0.0221728784846559	0.538399501060088	0	0	9.30798122065728	35.4530340248081	ADSSL1;ASPA	BioPlanet_2019	up
BioPlanet_2019.9	Phagosome	4	154	0.0253434082609566	0.538399501060088	0	0	3.75352380952381	13.7950881284452	LAMP1;LAMP2;THBS2;VAMP3	BioPlanet_2019	up
BioPlanet_2019.10	Integrin signaling pathway	4	155	0.0258738275966777	0.538399501060088	0	0	3.72847682119205	13.6258055608352	TSPAN15;RAP1A;CAPN6;RHOU	BioPlanet_2019	up
BioPlanet_2019.11	Focal adhesion	5	233	0.0268678917338007	0.538399501060088	0	0	3.0966805502966	11.2001464324487	RAP1A;ITGAD;FLNC;THBS2;BIRC2	BioPlanet_2019	up
BioPlanet_2019.12	Thymic stromal lymphopoietin (TSLP) pathway	3	90	0.0272531768304724	0.538399501060088	0	0	4.83467840547811	17.41734079169	CD82;SLC44A1;CD9	BioPlanet_2019	up
BioPlanet_2019.13	SNARE interactions in vesicular transport	2	36	0.0276430451621371	0.538399501060088	0	0	8.2112676056338	29.4651575969042	STX2;VAMP3	BioPlanet_2019	up
BioPlanet_2019.14	Fc gamma receptor-mediated phagocytosis	3	94	0.0304624042099441	0.538399501060088	0	0	4.62122983399579	16.1339241337665	MARCKSL1;GSN;CFL2	BioPlanet_2019	up
BioPlanet_2019.15	Striated muscle contraction	2	38	0.0305604869699187	0.538399501060088	0	0	7.75430359937402	27.0473783529879	TMOD1;TNNI1	BioPlanet_2019	up
BioPlanet_2019.16	Senescence and autophagy	3	99	0.034741348624502	0.538399501060088	0	0	4.37943262411348	14.7141258955326	GSN;LAMP1;LAMP2	BioPlanet_2019	up
BioPlanet_2019.17	Disinhibition of SNARE formation	1	5	0.0354886153684594	0.538399501060088	0	0	34.7062937062937	115.868465285128	STXBP3	BioPlanet_2019	up
BioPlanet_2019.18	Integrin-mediated cell adhesion	3	100	0.035632562673451	0.538399501060088	0	0	4.33406448782628	14.4519179998029	RAP1A;CAPN6;ITGAD	BioPlanet_2019	up
BioPlanet_2019.19	Gastrin pathway	2	44	0.0399948101010781	0.538399501060088	0	0	6.64453386988598	21.3887916087064	S100A6;BIRC2	BioPlanet_2019	up
BioPlanet_2019.20	Alpha-6 beta-1 and alpha-6 beta-4 integrin signaling	2	46	0.0433542473486586	0.538399501060088	0	0	6.34186939820743	19.9030096468451	PMP22;CD9	BioPlanet_2019	up
BioPlanet_2019.21	Lipid digestion, mobilization, and transport	2	48	0.046814891871718	0.538399501060088	0	0	6.06552357624005	18.5699275076933	LDLRAP1;ABCG1	BioPlanet_2019	up
BioPlanet_2019.22	Muscle contraction	2	49	0.0485820538833046	0.538399501060088	0	0	5.93617021276596	17.9539532072864	TMOD1;TNNI1	BioPlanet_2019	up
BioPlanet_2019.23	Cation-coupled chloride cotransporters	1	7	0.0493313351306603	0.538399501060088	0	0	23.1351981351981	69.6183410331835	SLC12A2	BioPlanet_2019	up
BioPlanet_2019.24	Creatine metabolism	1	7	0.0493313351306603	0.538399501060088	0	0	23.1351981351981	69.6183410331835	SLC6A8	BioPlanet_2019	up
BioPlanet_2019.25	Leukocyte transendothelial migration	3	117	0.0525511290269423	0.538399501060088	0	0	3.68458379992535	10.8546685363356	CLDN11;RAP1A;CTNNA3	BioPlanet_2019	up
BioPlanet_2019.26	Apoptotic execution  phase	2	52	0.0540256766897432	0.538399501060088	0	0	5.57915492957746	16.2816246840481	GSN;BIRC2	BioPlanet_2019	up
BioPlanet_2019.27	Interleukin-1 regulation of extracellular matrix	3	120	0.0558746819632203	0.538399501060088	0	0	3.58956173849791	10.3546074372364	BMP4;KLK6;MATN2	BioPlanet_2019	up
BioPlanet_2019.28	Formyl peptide interaction with formyl peptide receptors	1	8	0.056178529985824	0.538399501060088	0	0	19.8291708291708	57.0925576041236	HEBP1	BioPlanet_2019	up
BioPlanet_2019.29	Proepithelin conversion to epithelin and wound repair control	1	8	0.056178529985824	0.538399501060088	0	0	19.8291708291708	57.0925576041236	CELA1	BioPlanet_2019	up
BioPlanet_2019.30	Chromatin remodeling by nuclear receptors to facilitate initiation of transcription in carcinoma cells	1	8	0.056178529985824	0.538399501060088	0	0	19.8291708291708	57.0925576041236	KAT2B	BioPlanet_2019	up
BioPlanet_2019.31	Folate and pterine metabolism	1	8	0.056178529985824	0.538399501060088	0	0	19.8291708291708	57.0925576041236	DHFR	BioPlanet_2019	up
BioPlanet_2019.32	Platelet activation, signaling and aggregation	4	205	0.0610288179144062	0.538399501060088	0	0	2.79388770433547	7.81285300508431	RAP1A;STXBP3;LAMP2;CD9	BioPlanet_2019	up
BioPlanet_2019.33	HIV-1 Nef as negative effector of Fas and TNF	2	58	0.0655146842200145	0.538399501060088	0	0	4.97987927565392	13.5725662231029	GSN;BIRC2	BioPlanet_2019	up
BioPlanet_2019.34	RAGE pathway	2	60	0.0695107324538114	0.538399501060088	0	0	4.80767362797475	12.8185757454145	BMP4;ABCG1	BioPlanet_2019	up
BioPlanet_2019.35	Purine catabolism	1	10	0.0697263398277874	0.538399501060088	0	0	15.4211344211344	41.069212505401	NT5E	BioPlanet_2019	up
BioPlanet_2019.36	Tetrahydrobiopterin (BH4) biosynthesis, recycling, salvage and regulation	1	10	0.0697263398277874	0.538399501060088	0	0	15.4211344211344	41.069212505401	DHFR	BioPlanet_2019	up
BioPlanet_2019.37	Androgen receptor proteolysis and transcription regulation	2	61	0.0715381862047025	0.538399501060088	0	0	4.72594891382191	12.4648032059195	GSN;PRDX1	BioPlanet_2019	up
BioPlanet_2019.38	Purine ribonucleoside monophosphate biosynthesis	1	11	0.0764276477415152	0.538399501060088	0	0	13.8783216783217	35.6868657892985	ADSSL1	BioPlanet_2019	up
BioPlanet_2019.39	Glypican-3 pathway	1	11	0.0764276477415152	0.538399501060088	0	0	13.8783216783217	35.6868657892985	BMP4	BioPlanet_2019	up
BioPlanet_2019.40	Folate biosynthesis	1	11	0.0764276477415152	0.538399501060088	0	0	13.8783216783217	35.6868657892985	DHFR	BioPlanet_2019	up
BioPlanet_2019.41	Alanine and aspartate metabolism	1	12	0.0830810156048701	0.538399501060088	0	0	12.6160203432931	31.3878897386795	ASPA	BioPlanet_2019	up
BioPlanet_2019.42	Pyrimidine catabolism	1	12	0.0830810156048701	0.538399501060088	0	0	12.6160203432931	31.3878897386795	NT5E	BioPlanet_2019	up
BioPlanet_2019.43	Iron metabolism in placenta	1	12	0.0830810156048701	0.538399501060088	0	0	12.6160203432931	31.3878897386795	FTH1	BioPlanet_2019	up
BioPlanet_2019.44	Caspase-mediated cleavage of cytoskeletal proteins	1	12	0.0830810156048701	0.538399501060088	0	0	12.6160203432931	31.3878897386795	GSN	BioPlanet_2019	up
BioPlanet_2019.45	NICD trafficking to the nucleus	1	13	0.0896867838913074	0.538399501060088	0	0	11.5641025641026	27.8860453270206	KAT2B	BioPlanet_2019	up
BioPlanet_2019.46	Renal cell carcinoma	2	70	0.09060109091178	0.538399501060088	0	0	4.09859154929577	9.8419029054326	RAP1A;TGFA	BioPlanet_2019	up
BioPlanet_2019.47	Nucleotide metabolism	2	70	0.09060109091178	0.538399501060088	0	0	4.09859154929577	9.8419029054326	NT5E;ADSSL1	BioPlanet_2019	up
BioPlanet_2019.48	HDL-mediated lipid transport	1	15	0.102756871742191	0.538399501060088	0	0	9.91108891108891	22.551588133176	ABCG1	BioPlanet_2019	up
BioPlanet_2019.49	Rap1 signaling	1	16	0.109221860396725	0.538399501060088	0	0	9.24988344988345	20.4827018669827	RAP1A	BioPlanet_2019	up
BioPlanet_2019.50	Cell-extracellular matrix interactions	1	16	0.109221860396725	0.538399501060088	0	0	9.24988344988345	20.4827018669827	FLNC	BioPlanet_2019	up
BioPlanet_2019.51	Other semaphorin interactions	1	16	0.109221860396725	0.538399501060088	0	0	9.24988344988345	20.4827018669827	PLXNB3	BioPlanet_2019	up
BioPlanet_2019.52	Signaling events mediated by hepatocyte growth factor receptor (c-Met)	2	79	0.110952649712606	0.538399501060088	0	0	3.61788915310042	7.95447830997838	RAP1A;INPPL1	BioPlanet_2019	up
BioPlanet_2019.53	Purine metabolism	3	164	0.115009213610293	0.538399501060088	0	0	2.60274877758689	5.62907679182444	NT5E;PDE1C;ADSSL1	BioPlanet_2019	up
BioPlanet_2019.54	ABCA transporters in lipid homeostasis	1	17	0.115640587678707	0.538399501060088	0	0	8.67132867132867	18.7063822870673	ABCG1	BioPlanet_2019	up
