Term	list	set	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	database	direction
BioPlanet_2019.1	Cell cycle	10	453	6.38227687148964e-05	0.0161362642910669	0	0	5.10814215969342	49.3415912116961	CCNB2;SYCE2;POLA1;UBE2C;CENPK;CDK1;BIRC5;KIF2C;KIF20A;SPC25	BioPlanet_2019	up
BioPlanet_2019.2	M phase pathway	5	96	9.93000879450273e-05	0.0161362642910669	0	0	11.9629271827074	110.266655559919	CENPK;BIRC5;KIF2C;KIF20A;SPC25	BioPlanet_2019	up
BioPlanet_2019.3	Cyclin B2-mediated events	2	5	0.000225867685995685	0.0244689993161992	0	0	141.141843971631	1184.9649875808	CCNB2;CDK1	BioPlanet_2019	up
BioPlanet_2019.4	Post-translational protein modification	6	196	0.000366008366047301	0.0297381797413432	0	0	6.91719298245614	54.7347406970286	PIGT;B3GNT7;GALNT3;GALNT1;GFPT2;PIGH	BioPlanet_2019	up
BioPlanet_2019.5	DNA replication	6	207	0.000488955523529011	0.0317821090293857	0	0	6.53499170812604	49.8178038275956	POLA1;CENPK;BIRC5;KIF2C;KIF20A;SPC25	BioPlanet_2019	up
BioPlanet_2019.6	Aurora B signaling	3	39	0.000864060329986116	0.0464702785164298	0	0	17.8028673835125	125.579075925711	BIRC5;KIF2C;KIF20A	BioPlanet_2019	up
BioPlanet_2019.7	FOXM1 transcription factor network	3	41	0.00100089830650772	0.0464702785164298	0	0	16.8641765704584	116.47846233095	CCNB2;CDK1;BIRC5	BioPlanet_2019	up
BioPlanet_2019.8	Osteoblast signaling	2	14	0.00199831994958774	0.0811817479520019	0	0	35.2695035460993	219.215782087706	PDGFRA;TNFRSF11B	BioPlanet_2019	up
BioPlanet_2019.9	Cyclin A/B1-associated events during G2/M transition	2	15	0.00229856115776933	0.0830035973638926	0	0	32.5548281505728	197.785944790075	CCNB2;CDK1	BioPlanet_2019	up
BioPlanet_2019.10	Control of cell cycle and breast tumor growth by estrogen-responsive protein Efp	2	16	0.00261873530111009	0.085108897286078	0	0	30.2279635258359	179.707171319786	CCNB2;CDK1	BioPlanet_2019	up
BioPlanet_2019.11	G1/S-specific transcription	2	17	0.00295864815409323	0.0874146045527544	0	0	28.2113475177305	164.275320369266	POLA1;CDK1	BioPlanet_2019	up
BioPlanet_2019.12	O-linked glycosylation of mucins	3	63	0.00345529154978902	0.0935808128067858	0	0	10.6688172043011	60.4692389526778	B3GNT7;GALNT3;GALNT1	BioPlanet_2019	up
BioPlanet_2019.13	Hypertrophy pathway	2	20	0.00409489722109075	0.0950601140610353	0	0	23.5059101654846	129.235815195301	ZEB1;IL18	BioPlanet_2019	up
BioPlanet_2019.14	Cell differentiation pathway	2	20	0.00409489722109075	0.0950601140610353	0	0	23.5059101654846	129.235815195301	STAT3;EZH2	BioPlanet_2019	up
BioPlanet_2019.15	APC/C activator regulation between G1/S and early anaphase	2	21	0.00451184994179073	0.0977567487387992	0	0	22.2676371780515	120.268577755643	UBE2C;CDK1	BioPlanet_2019	up
BioPlanet_2019.16	APC/C- and Cdc20-mediated degradation of Nek2A	2	25	0.0063656858988136	0.129302994819651	0	0	18.3913043478261	93.0017601051784	UBE2C;CDK1	BioPlanet_2019	up
BioPlanet_2019.17	Interleukin-27-mediated signaling events	2	26	0.00687473039677018	0.131428669350018	0	0	17.6241134751773	87.7663729451488	STAT3;IL18	BioPlanet_2019	up
