Term	list	set	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	database	direction
BioPlanet_2019.1	Histidine catabolism	1	5	0.00673238988859165	0.0875210685516914	0	0	192.009615384615	960.206501870871	HAL	BioPlanet_2019	up
BioPlanet_2019.2	Nitrogen metabolism	1	23	0.0306096363049702	0.16659577197205	0	0	34.8793706293706	121.604847156372	HAL	BioPlanet_2019	up
BioPlanet_2019.3	Histidine metabolism	1	29	0.0384451781473962	0.16659577197205	0	0	27.396978021978	89.2736555272803	HAL	BioPlanet_2019	up
BioPlanet_2019.4	Melanoma	1	71	0.0916111794054684	0.297736333067772	0	0	10.9357142857143	26.1385658163622	FGF21	BioPlanet_2019	up
BioPlanet_2019.5	Fibroblast growth factor receptor pathway	1	105	0.132565861512571	0.344671239932684	0	0	7.34800295857988	14.8479309413511	FGF21	BioPlanet_2019	up
BioPlanet_2019.6	Amino acid metabolism	1	195	0.232574678812141	0.464962768540141	0	0	3.92129262490087	5.71937746301001	HAL	BioPlanet_2019	up
BioPlanet_2019.7	Actin cytoskeleton regulation	1	226	0.264376631309685	0.464962768540141	0	0	3.3757264957265	4.49100090161267	FGF21	BioPlanet_2019	up
BioPlanet_2019.8	Oncostatin M	1	311	0.345199847228398	0.464962768540141	0	0	2.43957816377171	2.59481282168074	CDSN	BioPlanet_2019	up
BioPlanet_2019.9	MAPK signaling pathway	1	314	0.347890116567687	0.464962768540141	0	0	2.41582698451708	2.55079587062129	FGF21	BioPlanet_2019	up
BioPlanet_2019.10	Pathways in cancer	1	325	0.3576636681078	0.464962768540141	0	0	2.33250237416904	2.39819079287838	FGF21	BioPlanet_2019	up
BioPlanet_2019.11	TGF-beta regulation of extracellular matrix	1	565	0.538946069541746	0.636936264003882	0	0	1.32358156028369	0.818158400704613	CDSN	BioPlanet_2019	up
BioPlanet_2019.12	Interleukin-2 signaling pathway	1	847	0.689366829467971	0.746814065256968	0	0	0.869567194035279	0.323463118867606	CSRP3	BioPlanet_2019	up
BioPlanet_2019.13	Metabolism	1	1615	0.897187997422512	0.897187997422512	0	0	0.43749404251263	0.0474636649042236	HAL	BioPlanet_2019	up
WikiPathway_2021_Human.1	Amino Acid Metabolism Pathway Excerpt (Histidine catabolism extension) WP4661	1	6	0.00807362689081275	0.096883522689753	0	0	153.6	740.221819209832	HAL	WikiPathway_2021_Human	up
