Term	list	set	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	database	direction
BioPlanet_2019.1	Interferon signaling	19	168	9.8690780087039e-15	5.32930212470011e-12	0	0	13.4687883380241	434.3599380169	IFNAR2;GBP5;IFITM2;DDX58;STAT2;MX1;EIF2AK2;UBE2L6;ISG15;IFI35;IFIT1;USP18;IFIT3;IFI27;IRF7;TRIM25;XAF1;IRF9;GBP3	BioPlanet_2019	up
BioPlanet_2019.2	Interferon alpha/beta signaling	13	64	7.80263353221561e-14	2.10671105369822e-11	0	0	26.2124183006536	791.13613161051	IFNAR2;IFITM2;STAT2;MX1;ISG15;IFI35;IFIT1;USP18;IFIT3;IFI27;IRF7;XAF1;IRF9	BioPlanet_2019	up
BioPlanet_2019.3	Immune system signaling by interferons, interleukins, prolactin, and growth hormones	21	280	1.31903529224882e-12	2.37426352604788e-10	0	0	8.60869565217391	235.483298094535	IFNAR2;GBP5;IFITM2;DDX58;STAT2;MX1;EIF2AK2;UBE2L6;ISG15;IFI35;IFIT1;IL2RG;USP18;IFIT3;IFI27;IL3RA;IRF7;TRIM25;XAF1;IRF9;GBP3	BioPlanet_2019	up
BioPlanet_2019.4	Immune system	34	998	6.35559826438725e-10	8.58005765692279e-08	0	0	3.88399941763122	82.2495714963054	ITGB1;IFITM2;NLRC5;UBE2L6;IFI35;IFIT1;IL2RG;USP18;IFIT3;IFIH1;RAP1B;TRIM25;TRIM21;CD34;GBP3;IFNAR2;GBP5;SMURF2;DDX58;STAT2;ERAP1;MX1;EIF2AK2;TAP1;ISG15;SPSB2;RNF125;IFI27;IL3RA;PSME1;IRF7;PSME2;XAF1;IRF9	BioPlanet_2019	up
BioPlanet_2019.5	Negative regulators of RIG-I/MDA5 signaling	7	33	3.6557378392222e-08	3.94819686635998e-06	0	0	26.8809246309246	460.319243395957	IFIH1;RNF125;DDX58;NLRC5;TRIM25;UBE2L6;ISG15	BioPlanet_2019	up
BioPlanet_2019.6	Antiviral mechanism by interferon-stimulated genes	8	70	5.81971539871347e-07	5.23774385884213e-05	0	0	12.9248403471426	185.559920349642	DDX58;MX1;TRIM25;EIF2AK2;UBE2L6;ISG15;IFIT1;USP18	BioPlanet_2019	up
BioPlanet_2019.7	RIG-I/MDA5-mediated induction of interferon-alpha/beta pathways	8	76	1.10292388015213e-06	7.49746895300064e-05	0	0	11.7808300985369	161.604076812415	IFIH1;RNF125;DDX58;IRF7;NLRC5;TRIM25;UBE2L6;ISG15	BioPlanet_2019	up
BioPlanet_2019.8	T cell receptor regulation of apoptosis	21	603	1.11073614118528e-06	7.49746895300064e-05	0	0	3.76767705064993	51.6566893789859	CEBPD;ODC1;ERAP1;MX1;TAP1;RHOC;GNAI2;SH3BGRL;LGALS1;CCND1;CASP6;DDAH2;PSME1;IRF7;PSME2;FLNA;BNIP2;STOM;PTGES;S100A10;GBP3	BioPlanet_2019	up
BioPlanet_2019.9	TRAF3-dependent IRF activation pathway	4	14	9.89987118299631e-06	0.000593992270979778	0	0	39.3731343283582	453.696186387667	IFIH1;DDX58;IRF7;TRIM25	BioPlanet_2019	up
BioPlanet_2019.10	TGF-beta regulation of extracellular matrix	18	565	2.23069888642301e-05	0.00120457739866842	0	0	3.38710907331189	36.2780060954073	CEBPD;ODC1;FN1;TAP1;CXCL1;IFIT1;IFIT3;RRAS;CCND1;PDGFD;LCN2;BNIP2;STOM;CD34;CKLF;S100A11;IRF9;S100A10	BioPlanet_2019	up
BioPlanet_2019.11	Bone remodeling	4	18	2.93051589137325e-05	0.00143861689212869	0	0	28.1179815209666	293.488376853165	IFNAR2;EIF2AK2;IRF9;FOSL2	BioPlanet_2019	up
BioPlanet_2019.12	RIG-I-like receptor signaling pathway	6	71	8.8681421663526e-05	0.00399066397485867	0	0	9.15191341321995	85.3915633246833	IFIH1;RNF125;DDX58;IRF7;TRIM25;ISG15	BioPlanet_2019	up
BioPlanet_2019.13	Interferon-alpha signaling pathway	3	10	0.000120762577467398	0.005016291679415	0	0	41.983026874116	378.757606424604	IFNAR2;STAT2;IRF9	BioPlanet_2019	up
BioPlanet_2019.14	Fibroblast growth factor 1	4	26	0.000134266034615269	0.0051788327637318	0	0	17.8860244233379	159.466202466202	CCND1;ODC1;PLAT;S1PR3	BioPlanet_2019	up
BioPlanet_2019.15	Type II interferon signaling (interferon-gamma)	5	50	0.000156932400899554	0.00564956643238395	0	0	10.9722222222222	96.1133246688316	STAT2;TAP1;EIF2AK2;ISG15;IRF9	BioPlanet_2019	up
BioPlanet_2019.16	Interleukin-2 signaling pathway	21	847	0.000173136343210664	0.00584335158335991	0	0	2.62099299926308	22.7015504413467	AHNAK;ODC1;MX1;IFI44;RRAS2;TAP1;NMI;IFIT1;IL2RG;CRIP1;FOSL2;RNF125;MDFIC;CCND1;GPR182;IL3RA;TAGLN2;TAX1BP3;TRIM21;S100A11;IRF9	BioPlanet_2019	up
BioPlanet_2019.17	Integrin signaling pathway	8	155	0.000201898166418573	0.00641323587447232	0	0	5.42781173383059	46.1784496155605	RAP1B;ITGB1;CAPNS1;RRAS;TSPAN6;PXN;RHOC;RHOD	BioPlanet_2019	up
