"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Calm2",231967.980713951,1.55079500787501,0.0902621698786422,17.1810073916909,3.68456795988392e-66,2.65152129672083e-64
"Calm1",217384.96437588,-0.0359669702700186,0.107144234675733,-0.335687406596081,0.737106603399025,0.831426986359633
"Fth1",144786.519677735,0.12027271294785,0.101508871876167,1.18484927203775,0.236077047295802,0.367611424067955
"Aldoa",148515.675814889,0.0595642073550403,0.0605656434035738,0.983465278460588,0.325378496014005,0.469342027911622
"Cpe",139300.5616017,-0.170557324681012,0.0558602734413988,-3.05328481536952,0.00226350993637559,0.00653209211041092
"Tmsb4x",111319.219835582,2.19830392433316,0.13890789279744,15.825622864633,2.07139084353025e-56,1.13031408628996e-54
"Ckb",150644.858492877,-1.1364987854512,0.0772959537600519,-14.7032118780655,6.14733776232036e-49,2.5909220627662e-47
"Apoe",183038.762223772,-2.34274830467135,0.198168071568052,-11.8220270608368,3.0034865579941e-32,6.73414377312432e-31
"Ubb",145740.782870715,-0.0421651154035842,0.13613032623375,-0.309740794502926,0.756758077795935,0.84540519560981
"Snap25",132364.154900138,-0.352796669169449,0.0951869561550958,-3.70635519214007,0.000210263365584666,0.000722409076024705
"Mbp",148323.971079548,-3.40786525187666,0.203036200963191,-16.7845203747409,3.16778208371545e-63,2.13075366728934e-61
"Ncdn",104506.434548495,0.758545164548969,0.13438176298465,5.64470317773415,1.65466469562124e-08,9.11822332435722e-08
"mt-Rnr2",129456.237533099,-2.31138634896168,0.184445041022862,-12.5315722024491,5.01583726103028e-36,1.29153890848669e-34
"Itm2b",102696.132974736,1.11901570314767,0.0791135703194939,14.1444217297818,2.02171682344937e-45,7.52074094628306e-44
"Ppp3ca",86679.0294012569,3.11066145096509,0.0697460247540389,44.5998386565387,0,0
"Atp5b",106785.801944701,-0.537228727108603,0.0746295817419279,-7.19860294764027,6.08326081758906e-13,4.82662959284829e-12
"Ywhah",115089.68919806,-0.197153669532307,0.081605367334845,-2.41593998006701,0.0156946481683325,0.0375275615917057
"Mdh1",113738.882947933,-0.636865047813047,0.081387153234015,-7.82512991923737,5.07132914727729e-15,4.65328333421805e-14
"Hspa8",102775.991626324,-0.355547488554291,0.0629931868284248,-5.6442213270254,1.6593050543932e-08,9.14226601266224e-08
"Actb",63129.2815448601,1.39573852773397,0.147692854288703,9.45027797354132,3.37932068781594e-21,4.40755957854078e-20
"mt-Co1",115024.78796604,-1.72270500701367,0.153146778434501,-11.248718547158,2.34981122624732e-29,4.59356039180816e-28
"Ndrg4",114085.846973537,-1.25318450716515,0.0964962182100757,-12.9868768995374,1.4523360016072e-38,4.15516860043158e-37
"Hsp90ab1",90288.0051217606,0.470760734284315,0.0701996863642671,6.70602332667885,1.99999765507627e-11,1.41485131387978e-10
"Prnp",95545.1254153042,0.84023567832869,0.0679895123425261,12.3583130600444,4.39278479044211e-35,1.09269278421269e-33
"Hpca",81416.4681052523,5.644026794118,0.24294694101551,23.2315203086163,2.18739739838234e-119,6.32407288186698e-117
"Atp2b1",83256.9808913371,1.44751825715464,0.120522081774555,12.0103987239643,3.13330679672871e-33,7.25215299953521e-32
"Atp1a3",86700.2328957993,-0.200419370934067,0.145471813319359,-1.37771961702354,0.168289872248662,0.281804352668883
"Fkbp1a",81950.8498908769,1.68224030679967,0.0892094621061057,18.8571959418252,2.56465589615776e-79,2.88493152496463e-77
"Atp1b1",87613.1361767329,0.286840080325689,0.0664466453751879,4.31684818256904,1.58272936589944e-05,6.35308454155154e-05
"Rtn1",80366.6319266373,1.06434055042366,0.0786960111555769,13.5247077303515,1.11787044726037e-41,3.62636732984789e-40
"Ppia",103808.634148423,-0.475345615755361,0.104465990786187,-4.55024273620551,5.35840649732667e-06,2.27822135894466e-05
"mt-Cytb",89513.8452907241,-1.28340644088897,0.153443964578741,-8.36400730659159,6.06231635716242e-17,6.24009634027845e-16
"Ywhaz",77522.9511698472,0.41326443808107,0.0751090999750384,5.50218865914269,3.75105247068477e-08,2.00374292352187e-07
"Cst3",91828.0331204089,-1.5250813116503,0.133645158473443,-11.4114220752214,3.66684862594893e-30,7.40083673378144e-29
"Aplp1",75079.2852825378,0.433667390930613,0.0880392436226702,4.92584185285917,8.39979158872443e-07,3.92693235422366e-06
"Slc25a4",76257.791634208,-0.0589153082030542,0.0776275014956317,-0.758948917174277,0.447883115073828,0.592788945624741
"Zwint",78581.0740457813,-0.741202802779314,0.0692729530834014,-10.6997431145593,1.0206076295175e-26,1.76024107070995e-25
"Pkm",70594.3619726442,-0.265993824955579,0.0732252555048379,-3.6325421211812,0.000280642747315915,0.000945004526847696
"Map1b",71931.8401578386,-0.856842512822032,0.122644411683465,-6.98639669806944,2.82035891715174e-12,2.12665773393741e-11
"App",59148.0284854895,0.112736401555137,0.102697405058561,1.09775316611799,0.27231228712255,0.410183736625655
"Gpm6a",58577.5662522114,1.9487604771213,0.14291707847838,13.6356025316883,2.45951023192766e-42,8.19646084267984e-41
"Olfm1",53634.3231017607,1.50701908440055,0.0893647273766062,16.8636902796064,8.32265143948113e-64,5.70283303105735e-62
"Nsf",55988.5190334881,0.103048276449004,0.114971143844031,0.896296870706951,0.370094229980434,0.515834386007744
"Stmn3",64098.7106572695,-0.711261641386961,0.0896618903010558,-7.93270852308348,2.14417271999527e-15,2.01395807005768e-14
"Tpi1",56894.0919449592,-0.251775208896981,0.0720200500706429,-3.49590438565399,0.000472457961592683,0.00154129881779009
"Ldhb",69295.1066261134,-1.35255779848901,0.125782109851022,-10.753181037359,5.72524061655156e-27,1.00318025242383e-25
"Eno2",54788.4329579013,0.0421848517165418,0.0762391626780595,0.553322600022232,0.580042528268606,0.709768765145906
"Tubb4a",65255.042391537,-1.25532069976888,0.0806617931142165,-15.5627670958338,1.30339896814261e-54,6.70182942137479e-53
"Plp1",69312.8958255489,-3.24548199642286,0.182309196571627,-17.8020750321707,6.80982607735519e-71,5.82974175801428e-69
"mt-Nd1",62986.683363706,-0.896484094205517,0.177426176845726,-5.05271606559509,4.35571175586869e-07,2.0951532948289e-06
