"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP23-369M17.1",375.291713269341,-4.28477133978331,0.320955454893177,-13.3500499039949,1.18369596051253e-40,3.14377810152524e-36
"Fggy",281.984933993568,-3.45279442972881,0.358555136651662,-9.62974470808713,5.98780550391065e-22,7.95150631891815e-18
"RP23-448G18.4",151.518417733706,-2.89255587088575,0.406665178990607,-7.11286832589265,1.13655704151178e-12,1.00619394885038e-08
"Cwc22",3934.94591788599,-2.32396824090802,0.389568837302867,-5.96548804313439,2.43903909765529e-09,1.61946098486567e-05
"RP23-154H8.1",121.466766655645,3.75374906427687,0.726311685193753,5.16823443818821,2.36315766755345e-07,0.00104605174154254
"RP23-16J8.6",315.89437983638,-2.83507037338911,0.547363129171554,-5.17950556457841,2.22474776806012e-07,0.00104605174154254
"Dusp1",2907.47135102981,-1.09394338474786,0.219716362625672,-4.97888901707149,6.39502983526581e-07,0.00242636567706892
"Srpk3",48.3431919089525,-2.1180213922763,0.443533533646726,-4.7753354179603,1.79407968694197e-06,0.00595612030068646
"Pola1",208.137978414557,1.2632135666904,0.26625104038443,4.74444556110089,2.09078195320367e-06,0.00616989754390402
"RP23-285H4.3",628.3355309926,-2.35754848595302,0.503245342438205,-4.68469012456387,2.80383798818903e-06,0.00705503940621578
"RP24-262P14.6",6.18411246196959,6.38718650829938,1.36588440527793,4.67622771269559,2.92200133545591e-06,0.00705503940621578
"Zfp146",160.686859829416,-1.54092946080812,0.337956617514832,-4.55954812229854,5.1263809121437e-06,0.0113459625538021
"Syt6",59.3892647134067,-3.36512433515476,0.747419192622284,-4.50232529264921,6.72140011895687e-06,0.0137318204430289
"Thg1l",323.861402944283,1.69383374866048,0.379466334519564,4.46372601354746,8.05465497575686e-06,0.015280255821509
"RP23-180A8.3",64.3813552259981,-4.15924426480648,0.940544623416346,-4.42216579761929,9.77164251394091e-06,0.0162203158454848
"Nxph3",20.7109529776975,-6.19521502090979,1.39911224972551,-4.42796138917749,9.51279248380759e-06,0.0162203158454848
"Klf10",5077.27268542764,0.925690599525692,0.21287662668679,4.34848397371347,1.37081833684624e-05,0.0212891439805807
"Rax",130.233881069362,-2.97896117367701,0.686833665540046,-4.33723814532985,1.4428426960746e-05,0.0212891439805807
"Fos",3541.06918230892,-1.28298017264388,0.302607263785082,-4.23975339056988,2.23765478391393e-05,0.027254431895503
"Fras1",187.29880711329,-1.48740055847781,0.349126160940678,-4.26035263146763,2.04104623433056e-05,0.027254431895503
"Lilr4b",12.5184206421182,-6.78436910344854,1.59436710081217,-4.25521142526874,2.08851570573217e-05,0.027254431895503
"RP23-141N19.10",58.0333646993226,-2.88030175925614,0.679675472729032,-4.23776033537176,2.25760571445109e-05,0.027254431895503
"Btg2",1229.88432813673,-1.54527454153061,0.367478108447851,-4.20507917616512,2.60990775261668e-05,0.0301376260877159
"Colec11",40.9266389357731,-2.72150538303601,0.652584832590962,-4.17034728225418,3.04135811390367e-05,0.0336564292279865
"Zp1",4.98061459191739,6.07041001856187,1.4902114103077,4.07352270729724,4.63073342777248e-05,0.0491950596432838
"Tgtp1",38.7718077209085,3.89540637201315,0.958523279004892,4.06396637133032,4.824577992012e-05,0.0492830641884026
"RP24-496C8.2",15.6025373332994,4.04147323400278,1.00442034269207,4.02368715787927,5.72940135049121e-05,0.0563582112843319
"Ier2",1537.0078818297,-0.859481749493605,0.214661705599512,-4.0038895018244,6.23094770651748e-05,0.0591027643347849
"Cnih3",1145.47938264731,-1.4323817891702,0.35980929630464,-3.98094714028023,6.86412137899675e-05,0.0607680665682582
"Hes1",921.353203788692,1.05881708084781,0.265954078494,3.98120264537211,6.85674603487925e-05,0.0607680665682582
"CAAA01180111.2",89.6789440943331,2.61019151811519,0.65721552533865,3.97159138437913,7.13941032603056e-05,0.0611663222093696
"Grm2",359.445855602514,-2.04798932297964,0.519626379461701,-3.94127281432714,8.10503785119905e-05,0.0672692813406237
"Mocs1",39.6398109793649,2.15051025149743,0.550222630389498,3.9084365722564,9.28953283662017e-05,0.0747638492750894
"Grm8",100.785278352495,-1.4369769647749,0.368650463994573,-3.89793884755848,9.7014906144384e-05,0.0757829085967263
"Jun",1017.33340048943,-1.1636705107381,0.304371206585977,-3.8231951168791,0.000131733453094215,0.0999631080208357
"Kirrel3",348.505967871429,-1.1555066049358,0.304767313130874,-3.79143876377451,0.000149777080556883,0.110498041180841
"RP24-143K11.1",6.41125369259466,-5.80870614499949,1.53867999962047,-3.77512292772523,0.000159928776538459,0.114798604759052
"Isl1",14.4483632555126,4.26449825047829,1.14101891353237,3.73744746901369,0.000185897912991544,0.128502680588296
"RP24-113I12.3",6.15276983263001,-5.00252301923031,1.3398346266914,-3.7336869189473,0.000188697034637732,0.128502680588296
"RP23-216B19.1",12.3436638905921,5.69734148110836,1.53508895078253,3.71140804459837,0.000206109543089492,0.136851583872846
"Miip",460.834048911834,-1.17798951600344,0.322416675482397,-3.65362465896326,0.000258564165346985,0.167492821157331
"Atp5a1",1757.73342951158,1.62631576527174,0.449692206744183,3.61650867166773,0.000298603318873921,0.180241035135738
"Kcng4",633.388412388943,0.78043692062045,0.215265674292733,3.6254592060932,0.00028844842997771,0.180241035135738
"Ovch2",4.71547990898609,-5.37589436449372,1.48444093498538,-3.62149428636354,0.000292906275650906,0.180241035135738
"RP23-348A6.1",24.1797471291765,-1.71327302212372,0.474736030549062,-3.60889612726931,0.000307502695016097,0.1814880905985
"RP23-26I10.6",23.2542013338268,2.78145364361186,0.7773115872111,3.57829947394889,0.000345837055688558,0.199675790478965
"Mdc1",115.774334467184,-0.897716539226659,0.251275284976882,-3.57264161220334,0.000353398263032415,0.199700095061232
"Idi2",5.38475962840596,-5.5597295530535,1.55924412992055,-3.56565687589717,0.000362945978100002,0.200822546507457
"Rprm",194.776908057936,-1.42334346257712,0.403477186464003,-3.52769254453029,0.000419198757686206,0.222669996107759
"Rsph3b",315.184515711824,-0.932857980878231,0.264383079781509,-3.52843299067838,0.000418027769061809,0.222669996107759
"RP24-429G21.6",10.13398263759,-4.52033600330196,1.28364943560757,-3.52147235679064,0.000429157409522807,0.223490032147377
"Lrmp",145.642522182978,-1.66444810008666,0.475976802370432,-3.49691012628657,0.000470680374697709,0.240400001376855
"Cml2",16.0973239059706,-3.75513844574001,1.0785194593746,-3.48175307649758,0.000498142811649621,0.249625942162307
"Pitpnm1",275.423377657108,-2.20221134108463,0.636014637706598,-3.4625167575161,0.000535148588850441,0.253803774487123
"Rps19-ps6",247.286915816289,1.86972515899326,0.539396184954917,3.4663299651434,0.000527615337682028,0.253803774487123
"Ddx58",141.365120175888,1.13721391463974,0.327679744584371,3.47050415362776,0.000519482308482315,0.253803774487123
"RP24-150D10.2",8.07014897154391,-5.40387066223303,1.56571724914466,-3.45137071536073,0.000557746897893708,0.259880699318579
"Slc6a3",702.720595633926,-7.0856686214072,2.05768929997528,-3.44350754095496,0.00057422058010604,0.262943523914419
"RP24-545C12.1",3.45287473176731,5.55552420019315,1.62017255224164,3.42897069358854,0.000605874945739385,0.272736147184616
"RP23-328F4.3",8.31493796599833,-5.44232843340333,1.60239465757908,-3.39637205332778,0.000682854732632842,0.301827434086941
"Olfr1029",8.67654623297187,3.66059207100969,1.07910665981996,3.39224305373154,0.00069322916824065,0.301827434086941
"Ckmt2",4.53782855505292,5.95862824514599,1.76081579923504,3.38401566349792,0.000714339278129041,0.305602107558457
"Tmem190",4.76353187632972,4.78277752567185,1.41637139326281,3.37678207031142,0.000733391320469654,0.305602107558457
"RP23-223A11.6",4.39516867047476,-5.27119056712615,1.56153401776183,-3.37564888575492,0.000736418347217186,0.305602107558457
"Srp54a",123.027447897562,1.50669921994246,0.448192504827565,3.36172337491931,0.00077457678410954,0.316492073987158
