"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gfap",12019.6748587006,5.46719610420518,0.597793838406209,9.14562137137678,5.92880325953729e-20,1.3646326462477e-15
"Ly86",973.33988616203,2.33725757027426,0.280211476568179,8.34104869257763,7.36345648974967e-17,8.4742339012284e-13
"Cd72",44.3123093771346,6.18137761441229,0.764152177369853,8.08919714877744,6.00592908394808e-16,4.6079489908411e-12
"Cst7",35.1255405686251,6.05296501150143,0.751877152870723,8.05047072968072,8.24761989587007e-16,4.74588667858104e-12
"Serpina3n",1548.29177948473,2.80268374592877,0.355589618725068,7.88179293866206,3.22716490982993e-15,1.23799424549259e-11
"Irf8",291.483792695164,2.25233703694658,0.285198242171375,7.8974436160555,2.84681716513154e-15,1.23799424549259e-11
"C1qb",6014.6210767394,2.91501370955918,0.374375388213175,7.78633906323812,6.8978685498038e-15,2.26811772015477e-11
"C4b",636.749555855203,3.82079261584202,0.496362762804374,7.69758108818462,1.38666094248027e-14,3.71177803883789e-11
"Cd14",502.46771257082,3.3848402545523,0.44006114814718,7.69174981432407,1.45136213883395e-14,3.71177803883789e-11
"Bcl3",80.6533844885194,3.33803395677721,0.446229991142505,7.4805235484748,7.40271015111551e-14,1.70388179548226e-10
"Fcgr1",224.895844623865,1.90925978367337,0.256852233539658,7.43330029629109,1.0592105970771e-13,2.21635002844761e-10
"C1qc",3054.75942757545,2.70662400992634,0.370635703289622,7.30265321420297,2.82147726831032e-13,5.41182852372489e-10
"Cd68",650.749909006869,2.74384813213256,0.381170992663371,7.19847046324373,6.08917326075495e-13,1.07811154571382e-09
"Csf1r",1699.26807788875,1.17921363570607,0.166440424193552,7.0848992449982,1.39145500171176e-12,2.00169498589998e-09
"Lcn2",13.5325153955266,7.58707281520441,1.07033402313558,7.08850942902647,1.35564146073197e-12,2.00169498589998e-09
"Lag3",113.876018403897,5.15397099631095,0.727179823693553,7.08761550909438,1.36442410516769e-12,2.00169498589998e-09
"Unc93b1",670.931405526844,2.03458686432474,0.305128112844417,6.66797577371104,2.59355581159383e-11,3.51152200679148e-08
"C1qa",2518.92363791963,2.10565924636167,0.318586446769482,6.60938111998609,3.85929987897865e-11,4.93497251746953e-08
"Hspb6",608.728954801198,2.67431979269948,0.405985108179293,6.5872361789153,4.48089207295342e-11,5.42824699174573e-08
"Ctsd",10749.1639819001,1.24562854365063,0.194162368468534,6.41539631739965,1.40456981260837e-10,1.61644916884034e-07
